,E,F,G,H
149,314,215,1539,676.0
150,1076,1234,1979,1484.0
151,1974,630,977,1686.0
152,571,224,651,1258.0
153,206,1134,811,1338.0
154,1596,112,1580,1321.0
155,261,276,901,1552.0
156,1716,119,23,838.0
157,618,1645,1816,279.0
158,124,1323,867,110.0
159,1285,176,483,78.0
160,51,1684,1032,1516.0
161,160,824,1666,213.0
162,1583,549,1657,929.0
163,819,211,894,972.0
164,615,1673,1926,1121.0
165,417,1711,1089,1163.0
166,1914,630,428,1742.0
167,356,1492,1130,1904.0
168,330,783,186,839.0
169,326,33,120,1531.0
170,1152,1286,1013,1002.0
171,677,1014,1864,1393.0
172,886,527,1505,1152.0
173,1868,1388,1552,1594.0
174,231,447,299,652.0
175,1953,1420,1959,501.0
176,1490,1872,156,1549.0
177,148,1583,1374,898.0
178,641,33,523,233.0
179,1497,66,1007,408.0
180,1261,1413,168,1425.0
181,527,1442,905,897.0
182,622,1615,1765,596.0
183,1324,620,531,288.0
184,1445,547,1649,40.0
185,704,1336,1994,145.0
186,1268,804,995,1044.0
187,1793,221,1434,374.0
188,1952,1249,1656,1198.0
189,1195,1901,1346,1649.0
190,1011,1444,1898,1870.0
191,649,350,253,958.0
192,1807,1043,1073,807.0
193,994,1586,1484,165.0
194,1175,1300,453,1987.0
195,780,949,382,68.0
196,963,116,1330,928.0
197,1573,212,1237,1925.0
198,924,295,875,1335.0
199,827,848,947,233.0
200,1260,1935,1739,281.0
201,1894,36,1810,1032.0
202,1237,1745,1735,1629.0
203,1720,1015,343,1099.0
204,806,592,979,984.0
205,1934,548,68,1978.0
206,1670,1803,1449,560.0
207,304,536,1643,340.0
208,1766,1581,208,1487.0
209,529,1579,1100,274.0
210,113,1002,1200,1320.0
211,1866,601,1456,1840.0
212,1689,527,169,1600.0
213,221,889,180,1942.0
214,445,759,355,1318.0
215,1257,420,1979,822.0
216,1662,1965,219,193.0
217,81,453,1641,489.0
218,1146,1253,1484,1737.0
219,1491,990,965,1092.0
220,885,171,565,1649.0
221,1161,21,1735,1911.0
222,531,20,172,177.0
223,444,197,325,1165.0
224,99,1501,1640,1255.0
225,1270,259,1297,1186.0
226,544,1973,1985,742.0
227,568,658,1008,1467.0
228,1432,487,313,1825.0
229,1648,140,514,60.0
230,301,1921,168,1609.0
231,279,1654,1046,1199.0
232,593,138,1519,1733.0
233,1491,1555,850,1951.0
234,1840,1330,469,144.0
235,279,753,464,7.0
236,675,16,1622,1126.0
237,113,1060,1575,1897.0
238,1672,280,438,102.0
239,873,394,1975,835.0
240,1813,936,1591,756.0
241,1928,1867,102,399.0
242,460,1199,270,302.0
243,291,1229,1521,813.0
244,277,255,495,663.0
245,1200,1793,430,1763.0
246,1235,1922,1849,580.0
247,349,28,475,731.0
248,1085,1288,863,1688.0
249,523,1320,1823,730.0
250,1000,1204,1154,124.0
251,3,121,26,434.0
252,631,973,1439,1582.0
253,1364,1726,1051,1337.0
254,736,1072,1074,1178.0
255,1639,972,12,1654.0
256,1374,635,260,222.0
257,1921,740,480,1675.0
258,242,379,1370,683.0
259,1572,1833,1992,717.0
260,1749,1948,1149,1815.0
261,1218,1020,1804,1311.0
262,495,1422,228,641.0
263,273,748,1277,978.0
264,1721,759,1666,1177.0
265,246,763,52,1716.0
266,754,242,1184,
