,A,B,C,D
62,900,23.0,829.0,822.0
63,186,486.0,1995.0,927.0
64,1423,497.0,1510.0,556.0
65,668,1199.0,65.0,66.0
66,235,367.0,1304.0,46.0
67,528,1220.0,1650.0,118.0
68,1601,1132.0,1580.0,1724.0
69,641,62.0,570.0,486.0
70,1063,1571.0,1010.0,803.0
71,598,1984.0,933.0,59.0
72,1551,478.0,673.0,1278.0
73,1956,1501.0,567.0,1044.0
74,40,1947.0,193.0,519.0
75,316,210.0,1685.0,1328.0
76,222,570.0,1777.0,351.0
77,667,782.0,189.0,298.0
78,17,727.0,572.0,1317.0
79,1012,938.0,1645.0,852.0
80,327,874.0,1771.0,599.0
81,710,1938.0,1063.0,1874.0
82,809,5.0,1539.0,1925.0
83,1910,1010.0,1004.0,1977.0
84,1012,1801.0,1890.0,715.0
85,1133,1830.0,1181.0,1672.0
86,246,332.0,1361.0,1971.0
87,29,1656.0,1481.0,83.0
88,1976,1722.0,1866.0,50.0
89,584,1975.0,779.0,1447.0
90,1879,789.0,291.0,1675.0
91,1242,1672.0,1658.0,182.0
92,480,1475.0,1956.0,1761.0
93,740,509.0,46.0,1226.0
94,1770,1138.0,1688.0,965.0
95,148,83.0,105.0,1886.0
96,1338,1266.0,1987.0,1998.0
97,304,1102.0,139.0,541.0
98,349,77.0,1541.0,610.0
99,1266,1596.0,1054.0,740.0
100,143,1504.0,961.0,476.0
101,978,894.0,586.0,1796.0
102,85,1804.0,292.0,77.0
103,232,349.0,81.0,136.0
104,122,1236.0,1846.0,1269.0
105,45,1234.0,423.0,1226.0
106,176,192.0,127.0,1868.0
107,1908,1904.0,959.0,243.0
108,1039,672.0,584.0,808.0
109,630,1795.0,161.0,540.0
110,720,1085.0,966.0,1701.0
111,1006,1330.0,1125.0,815.0
112,675,1704.0,525.0,81.0
113,1792,140.0,630.0,499.0
114,1291,292.0,217.0,1070.0
115,1729,142.0,349.0,510.0
116,192,880.0,1636.0,895.0
117,1640,1812.0,947.0,851.0
118,769,1049.0,1727.0,1052.0
119,1609,1415.0,359.0,240.0
120,695,1831.0,1293.0,1089.0
121,1730,1919.0,746.0,413.0
122,675,16.0,49.0,444.0
123,1779,660.0,1782.0,629.0
124,1630,1596.0,904.0,1948.0
125,989,618.0,192.0,1281.0
126,972,1911.0,1256.0,1150.0
127,26,1661.0,318.0,531.0
128,527,51.0,782.0,1511.0
129,1149,1561.0,396.0,581.0
130,1128,1940.0,731.0,268.0
131,869,1303.0,1350.0,954.0
132,1241,1350.0,1876.0,1197.0
133,1929,1793.0,1369.0,943.0
134,1612,154.0,851.0,1593.0
135,1334,559.0,1361.0,678.0
136,1285,1276.0,1332.0,1134.0
137,1192,1964.0,1578.0,890.0
138,1923,1707.0,712.0,1669.0
139,432,324.0,1117.0,270.0
140,1401,1873.0,127.0,1204.0
141,1541,1386.0,1875.0,1135.0
142,784,1335.0,268.0,1577.0
143,849,700.0,877.0,1915.0
144,1337,1579.0,1589.0,1435.0
145,1546,1072.0,988.0,1961.0
146,533,1251.0,521.0,1742.0
147,868,272.0,1110.0,38.0
148,1341,633.0,218.0,483.0
149,766,180.0,1163.0,1899.0
150,1221,1388.0,4.0,241.0
151,1824,956.0,93.0,1216.0
152,26,297.0,1642.0,1126.0
153,752,1699.0,672.0,543.0
154,97,1300.0,396.0,1284.0
155,1857,1754.0,954.0,751.0
156,799,29.0,101.0,1484.0
157,1163,1700.0,1476.0,1643.0
158,1615,667.0,1360.0,199.0
159,1154,201.0,1265.0,501.0
160,61,561.0,1812.0,1826.0
161,1681,1206.0,135.0,221.0
162,126,1058.0,416.0,50.0
163,1673,1474.0,1321.0,5.0
164,401,935.0,798.0,187.0
165,169,401.0,1306.0,889.0
166,1194,1839.0,1413.0,510.0
167,1646,886.0,1661.0,108.0
168,1743,424.0,1720.0,1327.0
169,1853,1639.0,410.0,1504.0
170,718,1476.0,506.0,1713.0
171,1573,36.0,122.0,733.0
172,440,290.0,510.0,1292.0
173,67,314.0,560.0,1501.0
174,38,967.0,1372.0,444.0
175,1721,1213.0,1628.0,1695.0
176,166,1572.0,1313.0,253.0
177,1576,1290.0,1661.0,970.0
178,281,360.0,69.0,629.0
179,586,1097.0,1570.0,104.0
180,1650,58.0,1916.0,1058.0
181,1562,554.0,1033.0,404.0
182,61,258.0,38.0,745.0
183,1433,1484.0,308.0,34.0
184,702,753.0,1821.0,28.0
185,567,1199.0,266.0,952.0
186,1660,1844.0,265.0,606.0
187,682,1137.0,1670.0,721.0
188,1732,250.0,768.0,1171.0
189,384,1698.0,1380.0,96.0
190,479,1154.0,648.0,1679.0
191,477,192.0,204.0,1188.0
192,1202,763.0,1702.0,907.0
193,468,1378.0,187.0,926.0
194,1379,1267.0,107.0,1767.0
195,264,1144.0,1641.0,511.0
196,1838,915.0,1988.0,490.0
197,629,1883.0,771.0,787.0
198,1334,655.0,1972.0,61.0
199,1061,63.0,758.0,1144.0
200,1020,485.0,1730.0,335.0
201,854,298.0,1646.0,1495.0
202,1120,1878.0,93.0,865.0
203,1722,480.0,585.0,410.0
204,1097,1793.0,1471.0,277.0
205,1764,1841.0,1027.0,1086.0
206,1237,591.0,27.0,438.0
207,1570,1292.0,1448.0,1199.0
208,810,733.0,1464.0,1959.0
209,51,1948.0,395.0,1523.0
210,126,1978.0,657.0,1454.0
211,1394,499.0,1865.0,268.0
212,375,71.0,332.0,1689.0
213,1555,1543.0,391.0,585.0
214,1890,1285.0,1232.0,1767.0
215,1747,289.0,749.0,546.0
216,1897,392.0,134.0,1378.0
217,347,949.0,294.0,1080.0
218,1534,723.0,1453.0,1374.0
219,777,1467.0,1611.0,833.0
220,1036,1303.0,386.0,1991.0
221,1702,1136.0,1873.0,584.0
222,424,1766.0,1646.0,1249.0
223,673,1431.0,870.0,59.0
224,552,348.0,632.0,486.0
225,1309,1681.0,316.0,882.0
226,1532,1750.0,728.0,1895.0
227,410,556.0,1425.0,1274.0
228,1816,396.0,602.0,1837.0
229,644,238.0,1468.0,215.0
230,718,1553.0,754.0,145.0
231,251,1167.0,676.0,429.0
232,1740,811.0,212.0,1042.0
233,743,1933.0,1814.0,365.0
234,1465,1612.0,124.0,1191.0
235,247,1592.0,335.0,1977.0
236,162,1217.0,790.0,1165.0
237,1455,1588.0,1667.0,1749.0
238,35,1434.0,243.0,810.0
239,274,1801.0,351.0,1718.0
240,764,1620.0,1512.0,1296.0
241,699,450.0,234.0,600.0
242,1252,965.0,1818.0,996.0
243,1623,1571.0,1600.0,1139.0
244,195,1857.0,1128.0,1372.0
245,1183,1737.0,618.0,1907.0
246,1929,1008.0,789.0,398.0
247,505,1481.0,769.0,863.0
248,994,890.0,1110.0,969.0
249,1360,612.0,64.0,821.0
250,261,1390.0,343.0,1161.0
251,612,383.0,1852.0,591.0
252,1415,599.0,664.0,1106.0
253,1369,1914.0,1971.0,520.0
254,784,851.0,1385.0,758.0
255,230,1361.0,848.0,913.0
256,1653,949.0,1920.0,1277.0
257,486,366.0,1873.0,674.0
258,239,496.0,1541.0,260.0
259,861,136.0,1324.0,1315.0
260,711,1256.0,70.0,1603.0
261,1322,937.0,934.0,1841.0
262,1346,1405.0,967.0,166.0
263,1656,,,
