,Q,R,S,T
98,1449,617,75.0,1022.0
99,1494,822,540.0,1910.0
100,1385,207,1218.0,1994.0
101,493,713,2000.0,1444.0
102,1950,147,149.0,1410.0
103,305,1500,1762.0,1856.0
104,489,1336,108.0,975.0
105,807,1366,463.0,55.0
106,751,816,1389.0,538.0
107,617,1594,268.0,1769.0
108,336,964,363.0,565.0
109,587,1295,812.0,1337.0
110,854,1327,383.0,566.0
111,76,1065,57.0,315.0
112,1289,1330,1138.0,475.0
113,203,774,1550.0,1582.0
114,1154,834,438.0,338.0
115,172,42,972.0,866.0
116,1841,224,1112.0,989.0
117,1721,1279,1025.0,1467.0
118,209,1123,796.0,1606.0
119,1869,1566,1461.0,622.0
120,1342,141,1032.0,1390.0
121,1316,141,941.0,874.0
122,1209,1278,876.0,1396.0
123,1981,1645,1976.0,96.0
124,1574,1299,1637.0,1989.0
125,454,1558,452.0,708.0
126,1162,985,1695.0,654.0
127,1731,1202,1119.0,60.0
128,608,1059,301.0,1131.0
129,1562,1576,1207.0,471.0
130,728,331,681.0,540.0
131,1965,1009,1356.0,1813.0
132,1000,1233,356.0,1979.0
133,1169,196,747.0,1689.0
134,1612,178,1831.0,1517.0
135,610,1772,1678.0,673.0
136,548,744,314.0,1057.0
137,1181,408,1427.0,1099.0
138,1782,227,97.0,1722.0
139,1358,59,773.0,589.0
140,1101,1009,140.0,1485.0
141,1290,1072,454.0,1649.0
142,543,1536,111.0,1960.0
143,1283,67,235.0,1866.0
144,720,1911,1529.0,433.0
145,249,1011,199.0,1146.0
146,1875,1811,1191.0,257.0
147,167,1992,1609.0,215.0
148,185,1288,80.0,748.0
149,1213,1899,1404.0,217.0
150,1319,1371,743.0,1482.0
151,856,1188,832.0,271.0
152,1310,1369,785.0,853.0
153,1646,1977,1619.0,1418.0
154,267,911,1676.0,672.0
155,1251,591,1181.0,1436.0
156,293,984,922.0,765.0
157,1700,399,1945.0,218.0
158,92,832,238.0,807.0
159,32,206,1131.0,1248.0
160,151,1807,320.0,695.0
161,64,261,1054.0,1246.0
162,1511,67,147.0,692.0
163,402,578,456.0,1053.0
164,1980,1104,1751.0,718.0
165,585,1827,1625.0,1301.0
166,334,354,1512.0,1874.0
167,833,765,110.0,1798.0
168,265,1559,666.0,10.0
169,1444,1265,137.0,1040.0
170,442,1435,1163.0,1527.0
171,1038,273,1516.0,563.0
172,292,588,1977.0,1201.0
173,219,1722,697.0,379.0
174,1318,54,512.0,235.0
175,703,1044,640.0,1745.0
176,999,716,278.0,966.0
177,1742,537,1550.0,1833.0
178,638,939,270.0,1353.0
179,1359,1302,817.0,931.0
180,1312,856,1966.0,978.0
181,546,1637,223.0,998.0
182,1739,1902,1784.0,1400.0
183,317,1658,505.0,874.0
184,624,840,525.0,64.0
185,1278,1693,916.0,73.0
186,1826,1242,422.0,1489.0
187,909,1691,1610.0,1321.0
188,477,1295,1427.0,462.0
189,1776,1548,1415.0,507.0
190,1624,1148,1188.0,1098.0
191,1216,598,1988.0,1015.0
192,513,181,1231.0,1289.0
193,803,97,1483.0,362.0
194,1837,181,393.0,1795.0
195,1994,498,1507.0,1197.0
196,73,765,1832.0,718.0
197,453,762,1803.0,558.0
198,8,1935,843.0,1671.0
199,1619,1828,598.0,963.0
200,448,135,660.0,430.0
201,1482,567,718.0,850.0
202,561,1609,1824.0,639.0
203,1532,279,965.0,1540.0
204,1923,264,71.0,1057.0
205,598,1922,1556.0,250.0
206,691,11,1728.0,685.0
207,7,550,400.0,1986.0
208,219,203,525.0,1853.0
209,219,1190,1509.0,1086.0
210,814,45,435.0,1132.0
211,371,1962,423.0,713.0
212,1879,1004,1533.0,5.0
213,54,1298,955.0,1756.0
214,480,41,1671.0,1311.0
215,354,703,728.0,771.0
216,756,1863,1450.0,570.0
217,853,708,407.0,256.0
218,267,184,1992.0,305.0
219,570,1496,737.0,821.0
220,386,790,1569.0,1805.0
221,1651,225,500.0,1029.0
222,1629,1606,278.0,1526.0
223,1130,664,1612.0,937.0
224,977,1029,1326.0,1441.0
225,233,204,1546.0,681.0
226,1919,309,1203.0,212.0
227,632,1678,740.0,1668.0
228,1622,1078,654.0,1985.0
229,366,503,1008.0,580.0
230,219,1091,1661.0,239.0
231,205,89,1294.0,601.0
232,735,140,199.0,155.0
233,964,964,448.0,296.0
234,1886,280,461.0,552.0
235,621,1987,669.0,1889.0
236,1674,331,1240.0,473.0
237,1282,1183,239.0,1615.0
238,1314,1448,44.0,586.0
239,1427,478,1792.0,34.0
240,1438,226,48.0,1724.0
241,1945,1131,794.0,90.0
242,1702,1236,409.0,948.0
243,542,1119,529.0,1004.0
244,1200,401,1155.0,1637.0
245,282,1037,1948.0,655.0
246,1052,532,1363.0,1882.0
247,1346,740,317.0,584.0
248,919,1467,924.0,1166.0
249,343,1808,1513.0,1160.0
250,795,316,455.0,1676.0
251,30,27,1269.0,398.0
252,1545,860,61.0,551.0
253,1630,1375,1686.0,1268.0
254,686,1082,1200.0,963.0
255,1634,1586,623.0,751.0
256,674,404,1223.0,97.0
257,807,255,1666.0,942.0
258,723,230,1325.0,373.0
259,211,952,727.0,815.0
260,1023,848,721.0,612.0
261,1891,682,1232.0,1139.0
262,1790,934,968.0,1554.0
263,1455,844,173.0,635.0
264,92,784,1993.0,1341.0
265,143,1259,1323.0,443.0
266,1610,179,1850.0,1462.0
267,701,478,320.0,26.0
268,922,306,556.0,162.0
269,882,1579,1184.0,1361.0
270,1537,1220,1403.0,1337.0
271,499,769,970.0,315.0
272,1838,676,1445.0,757.0
273,141,1890,479.0,911.0
274,1394,446,620.0,958.0
275,172,1817,1054.0,1431.0
276,867,1754,201.0,1957.0
277,675,1931,550.0,667.0
278,753,1146,913.0,1240.0
279,603,980,377.0,463.0
280,457,1468,1289.0,549.0
281,1407,860,341.0,321.0
282,1019,1631,222.0,151.0
283,1501,257,768.0,1298.0
284,1240,205,1477.0,777.0
285,1749,1758,1321.0,620.0
286,1164,836,1926.0,648.0
287,290,1916,1774.0,702.0
288,738,474,1843.0,1138.0
289,446,1700,1397.0,1265.0
290,281,1113,494.0,807.0
291,1749,623,753.0,1362.0
292,269,208,10.0,1568.0
293,1218,113,832.0,430.0
294,1854,519,1573.0,1523.0
295,1814,531,1225.0,336.0
296,447,509,339.0,1248.0
297,1089,963,1397.0,1456.0
298,1037,818,778.0,1258.0
299,1483,1845,1508.0,1307.0
300,421,443,1850.0,1481.0
301,660,1884,1754.0,1579.0
302,1667,1956,492.0,1141.0
303,1943,1407,257.0,890.0
304,1650,1584,1793.0,1482.0
305,1000,140,499.0,1161.0
306,1484,861,892.0,1845.0
307,1402,1230,1700.0,262.0
308,264,612,1558.0,1337.0
309,200,1673,319.0,912.0
310,807,1559,784.0,1315.0
311,1040,1869,479.0,1958.0
312,173,1856,551.0,302.0
313,549,1394,1345.0,1598.0
314,855,1504,1674.0,1399.0
315,511,257,907.0,1000.0
316,1719,171,798.0,1708.0
317,405,759,133.0,258.0
318,1032,63,561.0,26.0
319,1574,556,1915.0,1768.0
320,231,1355,687.0,1085.0
321,1341,1838,1954.0,1933.0
322,1978,1809,1479.0,1312.0
323,53,1641,916.0,1938.0
324,1504,1250,1820.0,341.0
325,347,1331,854.0,1454.0
326,1655,898,1179.0,49.0
327,1200,585,1686.0,1653.0
328,1561,1235,1818.0,554.0
329,1846,334,1138.0,601.0
330,219,1337,1005.0,730.0
331,1169,649,985.0,417.0
332,397,66,675.0,1175.0
333,337,462,1031.0,1558.0
334,1985,562,1216.0,1532.0
335,1995,1657,120.0,1884.0
336,1858,1247,1021.0,598.0
337,653,650,902.0,1980.0
338,1073,50,647.0,518.0
339,369,1727,1026.0,565.0
340,569,1596,951.0,948.0
341,1637,1318,601.0,1883.0
342,738,1608,1714.0,1112.0
343,1393,253,1534.0,1584.0
344,207,1816,1433.0,731.0
345,192,1212,932.0,1961.0
346,849,58,1225.0,1905.0
347,1081,532,141.0,239.0
348,1566,585,1002.0,731.0
349,1373,24,1762.0,411.0
350,493,1847,1168.0,429.0
351,156,1624,823.0,1058.0
352,678,563,1151.0,873.0
353,111,1491,136.0,1957.0
354,531,657,1177.0,1707.0
355,960,1712,1355.0,1537.0
356,67,1199,1123.0,621.0
357,744,1801,368.0,1420.0
358,962,879,589.0,1699.0
359,1845,656,315.0,66.0
360,1879,84,593.0,886.0
361,538,98,326.0,212.0
362,516,144,1634.0,890.0
363,1069,1601,1909.0,1770.0
364,1348,855,1947.0,1397.0
365,1435,880,1497.0,451.0
366,1752,619,1713.0,1523.0
367,584,503,1915.0,1770.0
368,1020,176,1816.0,91.0
369,1479,1611,286.0,1891.0
370,238,392,1735.0,515.0
371,1949,1201,1885.0,1624.0
372,1581,426,1705.0,1793.0
373,1096,653,1105.0,1019.0
374,872,927,862.0,52.0
375,1882,1556,308.0,1029.0
376,312,1552,1343.0,360.0
377,1374,563,910.0,1072.0
378,63,1464,345.0,1122.0
379,803,1160,1776.0,260.0
380,363,91,1714.0,214.0
381,102,791,601.0,1083.0
382,17,1184,164.0,1343.0
383,68,1101,129.0,373.0
384,80,658,330.0,1309.0
385,1546,319,78.0,1161.0
386,369,1458,1462.0,865.0
387,1584,397,353.0,199.0
388,554,1712,986.0,1526.0
389,852,827,345.0,820.0
390,663,440,770.0,1196.0
391,1708,1409,1551.0,281.0
392,730,1285,167.0,632.0
393,742,650,862.0,1381.0
394,530,477,1273.0,456.0
395,1730,1437,1061.0,482.0
396,256,850,182.0,1908.0
397,1106,607,1730.0,1256.0
398,36,1589,1022.0,396.0
399,481,1566,1740.0,1325.0
400,1921,880,1910.0,654.0
401,1590,1899,456.0,917.0
402,1347,148,425.0,447.0
403,756,1906,1707.0,952.0
404,561,915,201.0,468.0
405,870,1243,1559.0,75.0
406,1575,406,584.0,580.0
407,1440,1777,775.0,989.0
408,1734,565,260.0,1510.0
409,1326,154,512.0,1076.0
410,912,714,1228.0,855.0
411,51,1237,1808.0,925.0
412,1854,1842,1754.0,165.0
413,661,647,690.0,1214.0
414,1233,198,3.0,1283.0
415,856,1421,726.0,277.0
416,1255,402,657.0,1962.0
417,1193,1021,1551.0,1215.0
418,733,750,386.0,827.0
419,566,1855,986.0,309.0
420,1729,732,519.0,856.0
421,1682,1861,1374.0,1946.0
422,180,74,733.0,1674.0
423,1824,235,1677.0,1251.0
424,105,1767,388.0,178.0
425,1195,1295,1614.0,13.0
426,391,344,335.0,992.0
427,1874,756,1546.0,552.0
428,1672,550,504.0,1633.0
429,1164,1835,1444.0,67.0
430,452,355,1378.0,1976.0
431,1626,1458,1690.0,887.0
432,1610,1751,1966.0,309.0
433,1619,1692,1187.0,659.0
434,1642,145,1398.0,1285.0
435,1875,505,1054.0,385.0
436,1092,333,1014.0,1576.0
437,502,1330,332.0,901.0
438,37,524,1620.0,663.0
439,1780,277,97.0,1506.0
440,1262,1389,1518.0,1968.0
441,1939,884,59.0,1344.0
442,311,1836,1573.0,1371.0
443,931,387,1893.0,534.0
444,288,1163,787.0,706.0
445,632,189,394.0,1303.0
446,104,1436,320.0,1642.0
447,1421,1093,971.0,1930.0
448,1188,569,1908.0,138.0
449,111,1084,394.0,348.0
450,100,1608,766.0,379.0
451,1193,797,294.0,1309.0
452,630,980,18.0,35.0
453,549,1022,1768.0,375.0
454,480,1103,1514.0,39.0
455,385,1486,1608.0,1735.0
456,1665,500,1297.0,1678.0
457,674,45,1837.0,1062.0
458,578,1779,802.0,1682.0
459,928,142,1518.0,308.0
460,1174,1695,1398.0,417.0
461,1072,625,1586.0,1181.0
462,591,492,1175.0,1174.0
463,157,1255,1127.0,55.0
464,1457,1641,220.0,1604.0
465,1912,1064,1162.0,789.0
466,1700,1988,264.0,1061.0
467,1010,590,743.0,816.0
468,1715,1927,307.0,1729.0
469,1014,387,1823.0,1039.0
470,1536,273,1142.0,1858.0
471,204,393,189.0,1799.0
472,837,1082,181.0,278.0
473,1614,19,9.0,387.0
474,382,16,170.0,1385.0
475,434,531,1368.0,501.0
476,52,50,535.0,108.0
477,826,354,954.0,1597.0
478,992,1838,1026.0,1676.0
479,1357,1249,523.0,602.0
480,1738,1415,1248.0,1484.0
481,220,1405,1249.0,381.0
482,330,1119,1740.0,1239.0
483,1783,711,1173.0,303.0
484,1808,12,359.0,534.0
485,752,291,950.0,1472.0
486,719,222,396.0,1324.0
487,379,1589,926.0,699.0
488,298,1711,1944.0,418.0
489,473,1871,1658.0,1629.0
490,378,313,1217.0,1685.0
491,1017,815,906.0,629.0
492,617,32,390.0,486.0
493,845,421,223.0,379.0
494,913,1957,1927.0,1212.0
495,1454,1759,316.0,1100.0
496,1767,628,918.0,1577.0
497,407,990,1873.0,1998.0
498,1187,1773,385.0,387.0
499,1198,165,1098.0,1786.0
500,813,1986,927.0,1816.0
501,1829,1888,217.0,766.0
502,961,611,213.0,1715.0
503,294,534,71.0,624.0
504,1010,783,789.0,1504.0
505,769,1138,1334.0,1457.0
506,1706,288,827.0,1878.0
507,1010,1372,1152.0,1378.0
508,35,166,182.0,1910.0
509,924,909,136.0,1747.0
510,373,1440,1048.0,1024.0
511,1275,898,1100.0,957.0
512,902,623,1788.0,1164.0
513,525,630,384.0,1456.0
514,887,1126,837.0,150.0
515,1579,1072,675.0,1211.0
516,458,1958,1617.0,2.0
517,661,171,1845.0,488.0
518,1565,178,350.0,1148.0
519,1696,393,127.0,2000.0
520,1380,559,519.0,620.0
521,600,27,197.0,1267.0
522,1396,1522,1101.0,197.0
523,1226,1155,1058.0,218.0
524,91,494,97.0,1144.0
525,1754,907,1284.0,105.0
526,928,1753,977.0,1678.0
527,507,220,1318.0,129.0
528,1145,1217,1889.0,1613.0
529,1455,140,416.0,1860.0
530,1803,829,489.0,746.0
531,1962,547,1986.0,1173.0
532,679,1645,699.0,594.0
533,1469,70,1680.0,1034.0
534,928,1811,814.0,494.0
535,1010,1821,1756.0,1988.0
536,1705,1160,622.0,1943.0
537,89,1096,751.0,604.0
538,320,217,1281.0,1037.0
539,584,1143,1917.0,257.0
540,1915,1552,387.0,1220.0
541,272,1673,387.0,531.0
542,801,1995,1671.0,1656.0
543,1030,1449,319.0,1656.0
544,46,802,1566.0,756.0
545,185,1044,107.0,958.0
546,594,295,1771.0,374.0
547,1907,1817,1446.0,927.0
548,782,1501,1874.0,1139.0
549,1173,1564,543.0,1697.0
550,1239,65,1896.0,1656.0
551,1523,1662,396.0,993.0
552,1766,1289,620.0,1325.0
553,485,132,14.0,16.0
554,916,1894,1249.0,1070.0
555,1523,674,1085.0,1324.0
556,320,1146,387.0,323.0
557,1012,1915,340.0,1013.0
558,342,181,230.0,1510.0
559,1493,1618,1170.0,1387.0
560,1044,1467,995.0,1922.0
561,1959,1826,1298.0,1382.0
562,613,744,1659.0,1200.0
563,453,1161,306.0,682.0
564,565,545,1592.0,329.0
565,1478,792,1341.0,1406.0
566,1334,1758,1268.0,401.0
567,201,215,1664.0,1128.0
568,1148,1079,927.0,270.0
569,403,1759,258.0,186.0
570,1502,1371,63.0,1219.0
571,1454,673,61.0,451.0
572,1169,1581,320.0,195.0
573,274,1648,374.0,1997.0
574,886,625,1270.0,64.0
575,1211,725,1323.0,773.0
576,294,564,1673.0,1845.0
577,806,1826,252.0,327.0
578,1516,1497,646.0,1535.0
579,1698,267,1678.0,1040.0
580,1678,1432,1524.0,434.0
581,1154,1735,1260.0,1231.0
582,1777,582,779.0,101.0
583,791,891,624.0,1189.0
584,633,10,961.0,1822.0
585,421,139,1982.0,538.0
586,1043,1499,479.0,664.0
587,731,1623,1750.0,1307.0
588,714,246,356.0,551.0
589,1412,5,164.0,1566.0
590,1651,1551,94.0,450.0
591,229,801,1929.0,1537.0
592,930,334,1880.0,1678.0
593,215,117,1048.0,1367.0
594,1039,672,1473.0,404.0
595,1556,1546,772.0,968.0
596,1812,1447,915.0,1258.0
597,652,409,12.0,37.0
598,746,291,1703.0,1425.0
599,727,513,891.0,833.0
600,463,561,783.0,37.0
601,866,1441,712.0,1673.0
602,475,1944,23.0,691.0
603,1364,1455,190.0,1158.0
604,505,1757,1501.0,1230.0
605,1979,55,1889.0,1010.0
606,168,477,1127.0,707.0
607,591,1418,828.0,29.0
608,1065,334,638.0,1907.0
609,124,1141,1110.0,626.0
610,858,1462,1905.0,1066.0
611,514,1144,703.0,346.0
612,1048,163,67.0,1846.0
613,1931,498,536.0,1261.0
614,429,567,893.0,774.0
615,11,667,1334.0,930.0
616,1701,584,40.0,623.0
617,457,456,581.0,347.0
618,1062,1477,1349.0,977.0
619,1108,1440,1774.0,1568.0
620,572,492,833.0,1199.0
621,363,716,319.0,1189.0
622,751,539,70.0,1252.0
623,1737,1771,201.0,874.0
624,674,267,593.0,511.0
625,1779,8,237.0,797.0
626,1635,1541,941.0,810.0
627,349,441,372.0,1278.0
628,190,1506,418.0,1950.0
629,1366,38,94.0,630.0
630,1659,1661,1928.0,588.0
631,208,1436,55.0,760.0
632,658,1232,1458.0,1068.0
633,1132,233,276.0,221.0
634,85,645,793.0,1896.0
635,868,824,1654.0,957.0
636,1670,243,381.0,1395.0
637,1247,1323,1050.0,1546.0
638,1075,1973,334.0,1203.0
639,1572,1324,1344.0,1522.0
640,621,846,933.0,1293.0
641,295,201,153.0,1424.0
642,1002,1832,1928.0,1117.0
643,300,1141,609.0,717.0
644,1524,1825,340.0,1039.0
645,331,333,514.0,425.0
646,1030,1876,1196.0,1058.0
647,1608,1768,1204.0,775.0
648,1386,139,1678.0,1.0
649,571,1532,1021.0,1207.0
650,1822,152,1939.0,473.0
651,1981,174,1499.0,943.0
652,1746,588,1532.0,435.0
653,1398,53,1537.0,1659.0
654,895,1969,559.0,1548.0
655,593,282,1942.0,928.0
656,1715,984,1473.0,1265.0
657,1192,873,1511.0,396.0
658,1894,986,1730.0,38.0
659,83,648,6.0,61.0
660,1030,1307,936.0,553.0
661,353,110,212.0,106.0
662,1007,1599,1384.0,483.0
663,1054,1565,565.0,640.0
664,1691,1781,551.0,498.0
665,1974,769,1956.0,1612.0
666,1431,1805,64.0,520.0
667,792,360,73.0,574.0
668,260,646,1806.0,1680.0
669,231,1487,347.0,540.0
670,1446,69,1124.0,45.0
671,616,666,56.0,738.0
672,662,1659,901.0,1549.0
673,685,1906,1935.0,1362.0
674,1421,1084,824.0,1182.0
675,1866,1099,334.0,719.0
676,133,1014,125.0,948.0
677,549,709,792.0,523.0
678,958,1954,1148.0,1087.0
679,622,108,1501.0,1976.0
680,377,1136,501.0,1675.0
681,1743,25,1499.0,787.0
682,1073,1802,217.0,416.0
683,293,1085,379.0,1916.0
684,686,833,1064.0,648.0
685,1500,717,636.0,1949.0
686,853,236,112.0,1333.0
687,251,1493,808.0,467.0
688,1024,1493,1866.0,522.0
689,1323,1106,1998.0,1229.0
690,1939,413,1745.0,1406.0
691,1170,1436,1464.0,1206.0
692,193,1727,274.0,100.0
693,808,1884,1420.0,140.0
694,1744,1647,1979.0,44.0
695,942,279,639.0,795.0
696,1105,1131,1799.0,1509.0
697,1786,1054,236.0,486.0
698,346,1041,354.0,1526.0
699,535,553,1056.0,186.0
700,1465,880,1726.0,1364.0
701,801,21,426.0,1012.0
702,1424,824,1469.0,1931.0
703,1817,1194,960.0,1566.0
704,879,1184,1346.0,1527.0
705,1318,1499,362.0,587.0
706,1139,1116,656.0,1460.0
707,600,434,1153.0,1761.0
708,1064,429,1169.0,1282.0
709,562,1528,1960.0,1023.0
710,1485,1488,123.0,887.0
711,1604,1999,1307.0,31.0
712,1435,1686,1707.0,1513.0
713,366,300,1517.0,1946.0
714,871,767,1431.0,1076.0
715,629,1134,250.0,805.0
716,1410,1888,908.0,1362.0
717,781,1373,1310.0,1728.0
718,1402,682,1862.0,77.0
719,1912,1526,1880.0,1635.0
720,17,93,1821.0,1576.0
721,785,1802,1326.0,1113.0
722,1857,1195,189.0,577.0
723,208,1167,490.0,1796.0
724,614,678,1214.0,290.0
725,851,347,187.0,272.0
726,809,1153,631.0,1998.0
727,1663,747,645.0,1309.0
728,1019,1072,244.0,1893.0
729,973,230,384.0,793.0
730,1154,1441,409.0,1746.0
731,1207,1896,1544.0,1152.0
732,1896,1504,1641.0,806.0
733,1555,698,256.0,835.0
734,834,1146,909.0,786.0
735,1065,128,108.0,644.0
736,1548,1034,1311.0,753.0
737,235,1202,902.0,976.0
738,1971,1340,1643.0,1384.0
739,410,42,329.0,1387.0
740,1152,1693,256.0,748.0
741,1696,845,1676.0,1253.0
742,1589,131,1240.0,566.0
743,843,1157,1753.0,1099.0
744,1731,1495,703.0,429.0
745,871,696,832.0,1733.0
746,1784,630,267.0,1488.0
747,782,1294,1976.0,975.0
748,254,1808,110.0,1565.0
749,679,1475,764.0,298.0
750,1816,1390,240.0,9.0
751,254,691,816.0,1914.0
752,1979,69,1075.0,1634.0
753,733,1411,1265.0,753.0
754,1139,1865,1128.0,1449.0
755,491,660,854.0,929.0
756,380,281,1558.0,1426.0
757,1041,529,42.0,904.0
758,174,153,1810.0,477.0
759,196,1117,63.0,1051.0
760,349,1381,89.0,1283.0
761,1681,1649,200.0,1392.0
762,1887,578,87.0,1237.0
763,510,1147,196.0,305.0
764,1305,1769,1180.0,1107.0
765,1026,1287,1089.0,262.0
766,1635,488,979.0,714.0
767,1655,1334,1758.0,774.0
768,750,1623,526.0,851.0
769,1888,308,590.0,594.0
770,264,57,56.0,541.0
771,13,583,1043.0,1725.0
772,32,120,748.0,1960.0
773,375,1980,892.0,1627.0
774,1255,791,988.0,1415.0
775,1950,16,1901.0,527.0
776,1256,1315,1239.0,5.0
777,1121,987,1909.0,281.0
778,1043,630,1079.0,1244.0
779,1728,1680,1003.0,1036.0
780,1534,739,253.0,1327.0
781,745,212,923.0,694.0
782,290,965,74.0,892.0
783,1075,1954,1695.0,40.0
784,518,186,1071.0,1364.0
785,25,1514,1479.0,497.0
786,613,1799,1937.0,307.0
787,1002,600,550.0,896.0
788,1408,1355,1686.0,1521.0
789,645,1550,487.0,1382.0
790,278,901,1148.0,399.0
791,445,738,1975.0,1832.0
792,747,1966,389.0,1486.0
793,583,1055,95.0,465.0
794,1106,799,1435.0,292.0
795,1159,481,1845.0,1824.0
796,118,698,1009.0,1171.0
797,706,1832,814.0,1354.0
798,1742,1689,163.0,691.0
799,923,8,1792.0,1338.0
800,1074,1456,1220.0,1341.0
801,293,1036,905.0,930.0
802,1479,845,1340.0,981.0
803,1608,1574,445.0,1969.0
804,62,605,911.0,481.0
805,831,82,1948.0,1773.0
806,180,709,1629.0,1766.0
807,884,1877,417.0,1168.0
808,538,1634,1844.0,564.0
809,1236,1543,1496.0,87.0
810,1337,28,1320.0,903.0
811,500,38,1600.0,1862.0
812,1237,215,579.0,1948.0
813,1931,972,1120.0,71.0
814,1616,1897,1649.0,1881.0
815,1969,915,1301.0,1906.0
816,1501,1862,1930.0,759.0
817,980,1827,1270.0,971.0
818,108,1549,1797.0,1884.0
819,1703,824,1796.0,1565.0
820,1962,581,1423.0,1281.0
821,1312,241,,
