,U,V
112,999,1003.0
113,1263,511.0
114,388,155.0
115,555,35.0
116,1332,1522.0
117,1350,324.0
118,168,1947.0
119,316,421.0
120,1420,1923.0
121,987,1220.0
122,444,231.0
123,800,1856.0
124,435,1418.0
125,684,33.0
126,1305,101.0
127,832,1967.0
128,1559,197.0
129,931,75.0
130,134,13.0
131,163,1427.0
132,248,590.0
133,1646,1808.0
134,1414,835.0
135,1896,830.0
136,1244,1303.0
137,1558,1734.0
138,546,1941.0
139,177,314.0
140,844,1365.0
141,941,523.0
142,351,684.0
143,1137,299.0
144,967,1566.0
145,1066,452.0
146,1785,539.0
147,732,1816.0
148,1552,825.0
149,1953,1499.0
150,1606,1973.0
151,715,1458.0
152,305,567.0
153,1102,609.0
154,1980,1134.0
155,604,563.0
156,949,1995.0
157,213,1487.0
158,226,854.0
159,1479,233.0
160,167,404.0
161,1922,453.0
162,1995,1636.0
163,1705,1806.0
164,1798,470.0
165,351,1790.0
166,1885,1344.0
167,1193,1266.0
168,200,669.0
169,1480,379.0
170,1503,345.0
171,1229,114.0
172,1965,613.0
173,345,321.0
174,634,1894.0
175,1371,798.0
176,1416,1408.0
177,303,932.0
178,140,1419.0
179,1277,51.0
180,536,1123.0
181,218,1470.0
182,234,841.0
183,847,1111.0
184,1228,1071.0
185,367,861.0
186,1185,312.0
187,411,1466.0
188,1155,1216.0
189,250,1374.0
190,427,252.0
191,1437,1990.0
192,1981,953.0
193,1625,39.0
194,648,1564.0
195,1393,913.0
196,1026,442.0
197,93,1543.0
198,581,610.0
199,319,1330.0
200,986,216.0
201,481,532.0
202,1322,108.0
203,547,1321.0
204,814,369.0
205,1426,1722.0
206,1522,1167.0
207,1293,1342.0
208,552,1007.0
209,1710,257.0
210,1421,1765.0
211,108,1510.0
212,840,78.0
213,121,612.0
214,1149,612.0
215,984,1754.0
216,1293,1666.0
217,732,705.0
218,1364,1305.0
219,358,291.0
220,587,1794.0
221,1050,359.0
222,823,40.0
223,1118,498.0
224,74,1445.0
225,1538,1664.0
226,554,195.0
227,592,1771.0
228,1816,48.0
229,1749,1936.0
230,747,1484.0
231,338,1703.0
232,1959,196.0
233,1088,374.0
234,940,355.0
235,38,1698.0
236,1046,243.0
237,1298,993.0
238,1655,368.0
239,1392,1667.0
240,1789,1293.0
241,1194,504.0
242,1347,192.0
243,1623,685.0
244,1088,776.0
245,1999,786.0
246,742,389.0
247,455,1902.0
248,1014,1947.0
249,1685,573.0
250,1654,298.0
251,1572,825.0
252,159,1343.0
253,748,755.0
254,1995,1047.0
255,439,1366.0
256,797,1617.0
257,342,130.0
258,562,1622.0
259,314,1429.0
260,287,687.0
261,80,1141.0
262,14,1500.0
263,1541,1846.0
264,1146,860.0
265,1368,1914.0
266,642,279.0
267,921,486.0
268,563,978.0
269,1535,1089.0
270,94,370.0
271,45,1681.0
272,466,339.0
273,1464,1962.0
274,693,1831.0
275,1559,1693.0
276,1485,132.0
277,1708,509.0
278,934,132.0
279,1537,1170.0
280,264,1105.0
281,337,930.0
282,53,1517.0
283,16,1575.0
284,1921,303.0
285,859,919.0
286,822,1046.0
287,720,29.0
288,992,809.0
289,1287,22.0
290,8,602.0
291,1759,218.0
292,425,151.0
293,1134,76.0
294,1959,1791.0
295,570,1624.0
296,535,1455.0
297,1587,1349.0
298,1991,124.0
299,795,799.0
300,115,493.0
301,288,567.0
302,880,1345.0
303,1731,990.0
304,819,1456.0
305,1502,272.0
306,53,1638.0
307,126,1896.0
308,1497,1030.0
309,1643,498.0
310,1895,73.0
311,211,363.0
312,410,67.0
313,1407,366.0
314,647,962.0
315,1870,176.0
316,1436,11.0
317,1033,951.0
318,1601,850.0
319,1461,1130.0
320,1353,1477.0
321,1222,1189.0
322,255,318.0
323,211,895.0
324,1423,312.0
325,1454,1130.0
326,1476,1693.0
327,1637,387.0
328,692,1106.0
329,256,550.0
330,487,827.0
331,796,1016.0
332,1333,534.0
333,1471,1856.0
334,973,648.0
335,148,1561.0
336,609,1506.0
337,1112,1769.0
338,1016,1023.0
339,1559,376.0
340,1128,397.0
341,1289,1847.0
342,1957,1111.0
343,1719,1791.0
344,1215,1727.0
345,58,1383.0
346,307,1658.0
347,460,647.0
348,1542,1632.0
349,1422,1083.0
350,1453,122.0
351,539,1603.0
352,234,553.0
353,1378,49.0
354,1593,1819.0
355,846,1404.0
356,829,1253.0
357,1233,1983.0
358,1987,1215.0
359,1099,541.0
360,774,1336.0
361,1106,795.0
362,1271,673.0
363,159,319.0
364,1829,92.0
365,443,1505.0
366,105,1375.0
367,883,1084.0
368,640,1041.0
369,464,607.0
370,886,752.0
371,601,774.0
372,649,1553.0
373,909,1131.0
374,1020,669.0
375,558,344.0
376,1233,820.0
377,1235,493.0
378,1473,1064.0
379,640,388.0
380,1735,1935.0
381,1954,65.0
382,680,1894.0
383,214,915.0
384,1548,869.0
385,1607,388.0
386,1740,1476.0
387,1563,232.0
388,753,246.0
389,1918,1453.0
390,1005,537.0
391,952,318.0
392,961,1104.0
393,1484,1087.0
394,1106,1062.0
395,1157,653.0
396,1781,878.0
397,1769,1777.0
398,765,79.0
399,1356,92.0
400,545,434.0
401,836,1164.0
402,1812,258.0
403,1141,1767.0
404,95,1236.0
405,270,1588.0
406,924,1620.0
407,1194,1220.0
408,1186,1269.0
409,28,1040.0
410,1857,772.0
411,116,94.0
412,1803,1432.0
413,1793,1315.0
414,1330,1576.0
415,428,1201.0
416,774,1694.0
417,1585,153.0
418,1964,521.0
419,1125,1528.0
420,138,154.0
421,827,594.0
422,1013,557.0
423,1121,1438.0
424,1833,1588.0
425,1096,1756.0
426,1860,317.0
427,365,219.0
428,555,895.0
429,1636,1742.0
430,1230,1640.0
431,1971,1726.0
432,163,495.0
433,1296,1091.0
434,1942,1541.0
435,591,543.0
436,750,1935.0
437,1701,1833.0
438,492,324.0
439,1991,1016.0
440,882,667.0
441,463,2000.0
442,1250,682.0
443,1124,1492.0
444,1823,1653.0
445,1636,1198.0
446,1436,1108.0
447,189,992.0
448,133,1957.0
449,139,1841.0
450,1345,1277.0
451,371,704.0
452,739,757.0
453,1034,994.0
454,1597,1750.0
455,1742,1240.0
456,1213,1602.0
457,1767,1799.0
458,346,1407.0
459,860,1687.0
460,800,626.0
461,1703,62.0
462,52,468.0
463,1580,679.0
464,1324,504.0
465,371,241.0
466,1998,907.0
467,259,376.0
468,1595,631.0
469,910,1367.0
470,1258,1797.0
471,1742,1812.0
472,1948,899.0
473,360,1989.0
474,1086,831.0
475,954,1817.0
476,1932,951.0
477,1071,1382.0
478,645,434.0
479,954,542.0
480,1471,1890.0
481,1542,1890.0
482,59,622.0
483,1344,528.0
484,1166,1620.0
485,140,594.0
486,1784,1698.0
487,402,13.0
488,1908,943.0
489,695,1395.0
490,174,726.0
491,365,924.0
492,940,298.0
493,708,1750.0
494,1986,1874.0
495,1313,211.0
496,1043,599.0
497,1235,580.0
498,495,227.0
499,1457,895.0
500,848,1740.0
501,899,870.0
502,671,551.0
503,512,1282.0
504,591,1681.0
505,841,1368.0
506,533,122.0
507,1084,629.0
508,27,863.0
509,1849,1942.0
510,460,810.0
511,1979,246.0
512,56,962.0
513,165,191.0
514,834,549.0
515,987,1395.0
516,1433,1184.0
517,492,1634.0
518,163,505.0
519,1720,1583.0
520,746,1089.0
521,715,1783.0
522,559,1680.0
523,838,773.0
524,1361,16.0
525,615,1364.0
526,1626,1552.0
527,1246,503.0
528,812,90.0
529,109,1760.0
530,453,1891.0
531,856,170.0
532,179,1642.0
533,1297,1044.0
534,1563,1332.0
535,1679,1273.0
536,1072,889.0
537,584,1487.0
538,1781,867.0
539,1319,1828.0
540,392,842.0
541,1470,24.0
542,1855,351.0
543,1425,1463.0
544,539,1478.0
545,1619,1722.0
546,1555,473.0
547,1280,4.0
548,26,1803.0
549,1275,1510.0
550,750,255.0
551,1875,702.0
552,1691,289.0
553,499,523.0
554,1799,1002.0
555,473,1486.0
556,296,1985.0
557,205,1442.0
558,788,1192.0
559,635,794.0
560,125,1663.0
561,1081,1213.0
562,1627,578.0
563,206,955.0
564,762,690.0
565,423,1577.0
566,1575,164.0
567,157,1463.0
568,880,1101.0
569,675,28.0
570,736,700.0
571,32,302.0
572,349,176.0
573,360,178.0
574,616,1408.0
575,1613,1723.0
576,1573,940.0
577,1557,1333.0
578,105,1456.0
579,664,68.0
580,1248,1627.0
581,1611,1018.0
582,1995,994.0
583,1903,458.0
584,2000,1168.0
585,1670,380.0
586,921,759.0
587,1570,1708.0
588,1465,781.0
589,955,1037.0
590,1598,439.0
591,35,956.0
592,1131,1613.0
593,1127,193.0
594,1700,630.0
595,1501,939.0
596,1248,300.0
597,1556,902.0
598,1603,1483.0
599,530,378.0
600,1286,323.0
601,1488,1826.0
602,1724,1286.0
603,770,1738.0
604,1487,36.0
605,981,1699.0
606,1618,1636.0
607,169,951.0
608,135,951.0
609,1961,1982.0
610,551,366.0
611,334,443.0
612,971,905.0
613,673,9.0
614,949,220.0
615,898,1489.0
616,786,904.0
617,523,855.0
618,1581,717.0
619,1588,1718.0
620,907,729.0
621,1915,1066.0
622,1408,1375.0
623,1485,1282.0
624,108,1244.0
625,1802,1533.0
626,214,85.0
627,1224,769.0
628,1580,467.0
629,252,1854.0
630,1694,980.0
631,183,1751.0
632,1480,1525.0
633,1799,113.0
634,888,1629.0
635,1894,120.0
636,1410,305.0
637,1007,1434.0
638,92,1246.0
639,963,190.0
640,1028,1559.0
641,1151,828.0
642,1815,651.0
643,357,1416.0
644,1324,1700.0
645,1713,173.0
646,1101,1824.0
647,1382,691.0
648,1849,1373.0
649,870,1606.0
650,597,1678.0
651,943,1228.0
652,1524,251.0
653,1917,625.0
654,669,621.0
655,1377,1489.0
656,1449,931.0
657,875,949.0
658,1797,1951.0
659,1205,327.0
660,1678,1459.0
661,1533,1885.0
662,1416,1450.0
663,1313,115.0
664,103,198.0
665,1050,716.0
666,1089,496.0
667,225,883.0
668,137,951.0
669,248,1647.0
670,289,64.0
671,1916,753.0
672,463,598.0
673,1885,863.0
674,1503,1804.0
675,1974,93.0
676,93,1596.0
677,533,200.0
678,1396,532.0
679,1714,1259.0
680,1084,1261.0
681,1369,763.0
682,1268,781.0
683,964,1045.0
684,127,1840.0
685,841,330.0
686,444,780.0
687,843,1366.0
688,1933,1519.0
689,1730,1652.0
690,1380,945.0
691,1349,976.0
692,1938,294.0
693,1147,530.0
694,711,8.0
695,137,773.0
696,965,750.0
697,217,1973.0
698,175,756.0
699,435,1483.0
700,28,1685.0
701,1159,1311.0
702,349,998.0
703,620,317.0
704,893,1951.0
705,90,1730.0
706,983,548.0
707,1292,1749.0
708,1099,865.0
709,1342,1283.0
710,1866,201.0
711,19,1652.0
712,895,685.0
713,619,1475.0
714,1424,103.0
715,1880,1949.0
716,1937,965.0
717,673,1.0
718,1420,1268.0
719,152,811.0
720,1055,1314.0
721,1694,1636.0
722,539,985.0
723,155,1688.0
724,689,1797.0
725,1741,395.0
726,305,1494.0
727,20,872.0
728,1201,1044.0
729,451,1415.0
730,889,1442.0
731,1629,226.0
732,867,680.0
733,123,1297.0
734,1998,1488.0
735,1553,3.0
736,1735,823.0
737,1280,220.0
738,787,438.0
739,1158,140.0
740,414,865.0
741,882,273.0
742,1061,1559.0
743,1427,1709.0
744,383,669.0
745,415,723.0
746,1812,928.0
747,1728,1606.0
748,215,446.0
749,366,1614.0
750,1416,202.0
751,1917,143.0
752,583,1717.0
753,1566,117.0
754,716,651.0
755,293,302.0
756,364,758.0
757,1503,1967.0
758,1213,342.0
759,1687,665.0
760,1444,945.0
761,1190,331.0
762,1703,1430.0
763,1855,480.0
764,294,1916.0
765,1390,858.0
766,429,1801.0
767,1505,1050.0
768,1509,1717.0
769,1734,960.0
770,54,903.0
771,1085,1620.0
772,638,1337.0
773,1496,1020.0
774,69,669.0
775,152,1209.0
776,1391,408.0
777,116,1619.0
778,869,1109.0
779,1952,560.0
780,1566,859.0
781,655,886.0
782,194,1169.0
783,794,1374.0
784,1759,1077.0
785,422,320.0
786,609,1057.0
787,1695,1461.0
788,271,429.0
789,769,1838.0
790,522,913.0
791,1309,322.0
792,929,1969.0
793,609,97.0
794,964,1356.0
795,358,312.0
796,1573,1759.0
797,1655,1145.0
798,651,933.0
799,1734,1553.0
800,1665,455.0
801,1698,1766.0
802,62,254.0
803,1979,228.0
804,987,285.0
805,21,712.0
806,1124,483.0
807,563,557.0
808,1949,1306.0
809,630,884.0
810,1129,500.0
811,273,448.0
812,1775,1251.0
813,1759,1483.0
814,635,1037.0
815,257,1502.0
816,621,4.0
817,1134,88.0
818,1588,1258.0
819,1202,1575.0
820,1430,1306.0
821,585,1199.0
822,1224,1208.0
823,1015,881.0
824,301,89.0
825,437,3.0
826,1735,1504.0
827,1519,1717.0
828,1539,1614.0
829,151,713.0
830,1706,1498.0
831,407,1464.0
832,489,127.0
833,950,1705.0
834,893,941.0
835,1669,322.0
836,16,597.0
837,443,696.0
838,1564,449.0
839,17,1016.0
840,1481,961.0
841,463,241.0
842,1042,962.0
843,661,492.0
844,1531,319.0
845,834,739.0
846,1441,1826.0
847,1492,830.0
848,1048,1722.0
849,417,1859.0
850,801,1167.0
851,123,457.0
852,1100,1627.0
853,1124,439.0
854,573,1502.0
855,109,1646.0
856,1536,286.0
857,326,1919.0
858,1461,1612.0
859,1691,906.0
860,1649,854.0
861,1693,1753.0
862,681,28.0
863,698,1922.0
864,1711,721.0
865,1099,699.0
866,1470,37.0
867,620,1646.0
868,902,1776.0
869,1223,578.0
870,1841,1275.0
871,1782,590.0
872,320,1188.0
873,1881,714.0
874,1311,1809.0
875,1508,842.0
876,1316,96.0
877,1846,690.0
878,44,988.0
879,23,282.0
880,1468,30.0
881,1239,1268.0
882,421,369.0
883,144,1618.0
884,1046,1991.0
885,79,119.0
886,960,368.0
887,1787,249.0
888,858,262.0
889,1933,79.0
890,1160,94.0
891,879,399.0
892,513,1192.0
893,511,80.0
894,682,1616.0
895,181,824.0
896,992,809.0
897,872,1492.0
898,42,1998.0
899,398,1289.0
900,1489,333.0
901,977,1476.0
902,482,414.0
903,526,1233.0
904,1553,1452.0
905,773,583.0
906,841,763.0
907,46,450.0
908,654,612.0
909,1023,1992.0
910,537,1950.0
911,1691,1411.0
912,529,14.0
913,1253,1585.0
914,1881,675.0
915,1218,1303.0
916,1899,1806.0
917,1024,849.0
918,718,773.0
919,1572,933.0
920,756,1823.0
921,1028,1133.0
922,834,1855.0
923,598,280.0
924,1681,1222.0
925,456,1248.0
926,1998,1526.0
927,360,1636.0
928,1101,1699.0
929,916,1561.0
930,117,929.0
931,78,1848.0
932,1466,471.0
933,587,1985.0
934,1042,327.0
935,760,1842.0
936,237,1963.0
937,436,1300.0
938,1224,1610.0
939,963,1858.0
940,214,1657.0
941,1918,1984.0
942,1082,172.0
943,1727,1565.0
944,232,1093.0
945,1860,1269.0
946,217,1522.0
947,1187,1977.0
948,1728,523.0
949,1253,845.0
950,1389,1416.0
951,1236,356.0
952,1111,544.0
953,347,660.0
954,1931,387.0
955,384,183.0
956,514,589.0
957,672,1055.0
958,826,575.0
959,385,1774.0
960,1987,889.0
961,1328,1291.0
962,1316,1979.0
963,99,1722.0
964,1561,120.0
965,75,1678.0
966,1423,193.0
967,136,558.0
968,447,793.0
969,541,1272.0
970,165,1230.0
971,1294,230.0
972,375,150.0
973,1618,1183.0
974,503,1746.0
975,1778,1016.0
976,1615,749.0
977,968,928.0
978,524,13.0
979,133,1737.0
980,705,1600.0
981,1806,1947.0
982,676,1476.0
983,356,1843.0
984,187,1162.0
985,648,869.0
986,587,392.0
987,842,1157.0
988,1952,191.0
989,198,180.0
990,1168,984.0
991,1063,829.0
992,1878,795.0
993,1985,38.0
994,269,1599.0
995,958,1546.0
996,513,52.0
997,1882,1800.0
998,24,1614.0
999,1721,692.0
1000,800,1625.0
1001,906,1258.0
1002,1046,1313.0
1003,483,1366.0
1004,187,907.0
1005,1029,1726.0
1006,1439,51.0
1007,721,1545.0
1008,324,517.0
1009,1893,1799.0
1010,695,298.0
1011,1388,1649.0
1012,434,20.0
1013,1616,1248.0
1014,1107,50.0
1015,1182,69.0
1016,1461,279.0
1017,1727,196.0
1018,1219,843.0
1019,774,529.0
1020,458,1943.0
1021,694,1173.0
1022,1151,1615.0
1023,754,177.0
1024,1909,30.0
1025,548,1398.0
1026,1797,622.0
1027,1802,1171.0
1028,240,1425.0
1029,361,1321.0
1030,1419,1635.0
1031,152,1220.0
1032,1575,1731.0
1033,1868,108.0
1034,642,649.0
1035,1971,93.0
1036,270,1403.0
1037,1799,1906.0
1038,691,389.0
1039,795,1639.0
1040,1548,370.0
1041,1752,1271.0
1042,1494,908.0
1043,281,942.0
1044,1601,66.0
1045,1041,934.0
1046,710,1239.0
1047,39,152.0
1048,1050,432.0
1049,1324,562.0
1050,743,1407.0
1051,641,794.0
1052,224,820.0
1053,1672,80.0
1054,80,1194.0
1055,1456,405.0
1056,712,962.0
1057,1515,350.0
1058,1784,627.0
1059,129,277.0
1060,1227,1815.0
1061,251,1069.0
1062,1254,907.0
1063,814,818.0
1064,992,891.0
1065,345,102.0
1066,1299,773.0
1067,1213,554.0
1068,861,1134.0
1069,1294,1204.0
1070,734,52.0
1071,1433,572.0
1072,1976,1606.0
1073,1151,76.0
1074,194,542.0
1075,1089,1017.0
1076,1312,1249.0
1077,1896,276.0
1078,981,1115.0
1079,1517,842.0
1080,1606,586.0
1081,569,1934.0
1082,159,255.0
1083,53,251.0
1084,502,269.0
1085,1641,1226.0
1086,261,1088.0
1087,990,1047.0
1088,1919,548.0
1089,991,940.0
1090,1195,1204.0
1091,1137,1066.0
1092,14,1572.0
1093,142,1788.0
1094,1377,242.0
1095,94,540.0
1096,183,1893.0
1097,568,119.0
1098,1533,1066.0
1099,74,1452.0
1100,547,1114.0
1101,1332,1316.0
1102,596,1132.0
1103,696,1734.0
1104,1050,817.0
1105,445,1518.0
1106,602,112.0
1107,1789,53.0
1108,1009,533.0
1109,643,1394.0
1110,1259,1209.0
1111,1405,1717.0
1112,510,559.0
1113,1737,112.0
1114,831,178.0
1115,88,773.0
1116,1715,1559.0
1117,1116,1736.0
1118,667,832.0
1119,192,1557.0
1120,1941,1572.0
1121,971,1387.0
1122,1479,1514.0
1123,682,304.0
1124,1082,869.0
1125,223,1901.0
1126,757,1417.0
1127,1777,484.0
1128,149,1341.0
1129,1087,1573.0
1130,1756,1827.0
1131,940,395.0
1132,411,1815.0
1133,838,859.0
1134,1992,874.0
1135,967,1995.0
1136,959,441.0
1137,1291,265.0
1138,553,382.0
1139,1104,1346.0
1140,178,1314.0
1141,795,814.0
1142,86,1390.0
1143,1388,1489.0
1144,831,1102.0
1145,1362,1631.0
1146,215,1952.0
1147,1780,427.0
1148,1735,1564.0
1149,1684,1549.0
1150,1374,290.0
1151,15,694.0
1152,688,305.0
1153,519,412.0
1154,1207,1883.0
1155,899,401.0
1156,1077,1498.0
1157,532,962.0
1158,533,607.0
1159,172,567.0
1160,1606,120.0
1161,1190,1781.0
1162,1578,1198.0
1163,1404,819.0
1164,399,981.0
1165,950,1816.0
1166,1822,777.0
1167,386,198.0
1168,483,1502.0
1169,1540,908.0
1170,940,255.0
1171,904,860.0
1172,893,1026.0
1173,666,1745.0
1174,427,710.0
1175,1158,349.0
1176,1513,1082.0
1177,755,1395.0
1178,1408,1260.0
1179,1800,709.0
1180,887,712.0
1181,1355,646.0
1182,878,2000.0
1183,924,1955.0
1184,566,621.0
1185,859,1809.0
1186,1717,107.0
1187,2000,1376.0
1188,1970,1349.0
1189,630,850.0
1190,108,1756.0
1191,1765,1175.0
1192,1243,1854.0
1193,799,1980.0
1194,1123,1767.0
1195,1598,562.0
1196,705,1944.0
1197,892,563.0
1198,306,1474.0
1199,1182,527.0
1200,333,815.0
1201,1785,622.0
1202,277,1923.0
1203,430,1248.0
1204,1292,1583.0
1205,1710,1984.0
1206,133,420.0
1207,948,956.0
1208,1723,1039.0
1209,46,1226.0
1210,1984,216.0
1211,1288,1365.0
1212,557,1097.0
1213,713,389.0
1214,251,1464.0
1215,1798,1218.0
1216,1471,1283.0
1217,597,1112.0
1218,1843,1055.0
1219,1890,1448.0
1220,1229,544.0
1221,846,1453.0
1222,214,182.0
1223,1137,735.0
1224,440,985.0
1225,1407,448.0
1226,993,830.0
1227,262,965.0
1228,881,866.0
1229,1677,979.0
1230,1345,371.0
1231,531,760.0
1232,1683,1105.0
1233,550,650.0
1234,381,1249.0
1235,1157,1098.0
1236,13,846.0
1237,454,1270.0
1238,674,770.0
1239,1745,427.0
1240,1356,1712.0
1241,1156,169.0
1242,72,1765.0
1243,403,1380.0
1244,1539,347.0
1245,1529,434.0
1246,201,744.0
1247,1459,606.0
1248,419,1990.0
1249,911,728.0
1250,1301,562.0
1251,1856,62.0
1252,821,1985.0
1253,847,1544.0
1254,1699,1801.0
1255,1903,198.0
1256,1420,1446.0
1257,1961,86.0
1258,455,1083.0
1259,1095,1034.0
1260,208,930.0
1261,1976,510.0
1262,38,924.0
1263,1120,1682.0
1264,100,1528.0
1265,214,1816.0
1266,1246,1946.0
1267,83,1061.0
1268,975,545.0
1269,18,76.0
1270,753,458.0
1271,932,310.0
1272,691,962.0
1273,700,295.0
1274,742,982.0
1275,699,232.0
1276,1376,1443.0
1277,501,77.0
1278,1303,340.0
1279,1495,1650.0
1280,1294,1879.0
1281,505,1268.0
1282,495,468.0
1283,1878,604.0
1284,22,947.0
1285,93,476.0
1286,931,1614.0
1287,1271,1053.0
1288,1302,1891.0
1289,286,1722.0
1290,1970,452.0
1291,742,1627.0
1292,1210,32.0
1293,337,383.0
1294,844,1608.0
1295,50,260.0
1296,1775,1009.0
1297,296,849.0
1298,774,668.0
1299,236,400.0
1300,209,84.0
1301,56,1002.0
1302,1558,94.0
1303,427,544.0
1304,1280,223.0
1305,584,98.0
1306,1849,514.0
1307,642,1122.0
1308,663,1585.0
1309,1745,1515.0
1310,393,818.0
1311,1470,447.0
1312,160,1279.0
1313,1537,51.0
1314,1817,567.0
1315,307,741.0
1316,1069,368.0
1317,38,478.0
1318,422,831.0
1319,1781,260.0
1320,165,1012.0
1321,145,1425.0
1322,531,1591.0
1323,1798,81.0
1324,800,1438.0
1325,1274,1839.0
1326,1311,1500.0
1327,37,470.0
1328,676,827.0
1329,1187,946.0
1330,1795,547.0
1331,1505,599.0
1332,1698,1183.0
1333,40,987.0
1334,27,1110.0
1335,599,1426.0
1336,698,577.0
1337,1095,428.0
1338,1084,616.0
1339,93,1409.0
1340,323,186.0
1341,1448,244.0
1342,664,136.0
1343,254,596.0
1344,906,1266.0
1345,1556,497.0
1346,1680,876.0
1347,584,545.0
1348,291,1600.0
1349,1924,606.0
1350,1889,1927.0
1351,1337,509.0
1352,486,1588.0
1353,1459,1118.0
1354,1728,1344.0
1355,236,568.0
1356,1552,941.0
1357,1351,652.0
1358,861,705.0
1359,1575,615.0
1360,990,379.0
1361,1185,312.0
1362,707,1196.0
1363,667,1468.0
1364,964,696.0
1365,1911,1981.0
1366,692,1787.0
1367,95,1116.0
1368,1235,1326.0
1369,1657,176.0
1370,1302,1245.0
1371,527,1263.0
1372,761,1145.0
1373,571,735.0
1374,446,56.0
1375,130,1245.0
1376,522,171.0
1377,908,634.0
1378,1797,1143.0
1379,1202,748.0
1380,1099,401.0
1381,1062,624.0
1382,1427,1075.0
1383,1431,410.0
1384,1581,1234.0
1385,1931,1241.0
1386,925,1540.0
1387,235,204.0
1388,1344,871.0
1389,2000,1797.0
1390,802,1632.0
1391,1380,482.0
1392,1591,1284.0
1393,1592,1358.0
1394,543,925.0
1395,804,655.0
1396,786,1005.0
1397,789,669.0
1398,373,613.0
1399,795,149.0
1400,897,166.0
1401,1491,686.0
1402,1016,804.0
1403,1367,853.0
1404,680,591.0
1405,968,1863.0
1406,1315,810.0
1407,1678,978.0
1408,822,222.0
1409,862,880.0
1410,805,1521.0
1411,1385,1036.0
1412,462,1856.0
1413,1621,796.0
1414,227,845.0
1415,1374,213.0
1416,743,1821.0
1417,1617,1358.0
1418,1103,1579.0
1419,510,1512.0
1420,1637,231.0
1421,149,812.0
1422,1306,719.0
1423,1693,1817.0
1424,1757,184.0
1425,203,381.0
1426,630,1493.0
1427,228,861.0
1428,1123,1308.0
1429,258,1783.0
1430,142,760.0
1431,1590,562.0
1432,115,215.0
1433,386,739.0
1434,1727,665.0
1435,1289,47.0
1436,1504,1201.0
1437,131,665.0
1438,380,625.0
1439,1079,443.0
1440,1508,363.0
1441,1519,66.0
1442,1389,18.0
1443,984,134.0
1444,1242,542.0
1445,508,795.0
1446,846,1416.0
1447,318,960.0
1448,1289,1335.0
1449,1147,866.0
1450,1503,1410.0
1451,1168,1100.0
1452,1723,1873.0
1453,30,1162.0
1454,1786,1598.0
1455,1163,949.0
1456,107,297.0
1457,1895,667.0
1458,1540,1493.0
1459,1467,1129.0
1460,877,1351.0
1461,1334,1956.0
1462,1718,335.0
1463,1263,1845.0
1464,1105,904.0
1465,1829,592.0
1466,1482,1181.0
1467,600,9.0
1468,581,131.0
1469,1028,1871.0
1470,1859,1391.0
1471,1316,883.0
1472,597,1443.0
1473,1190,1842.0
1474,1881,1725.0
1475,1436,964.0
1476,84,1631.0
1477,1217,130.0
1478,1148,1404.0
1479,434,893.0
1480,516,176.0
1481,1229,1947.0
1482,89,56.0
1483,392,1311.0
1484,953,516.0
1485,480,1169.0
1486,846,683.0
1487,594,1361.0
1488,553,282.0
1489,830,340.0
1490,718,1572.0
1491,1676,766.0
1492,899,925.0
1493,571,180.0
1494,1056,938.0
1495,1734,1706.0
1496,1566,1058.0
1497,406,371.0
1498,337,365.0
1499,176,1393.0
1500,333,1965.0
1501,1205,479.0
1502,813,1793.0
1503,1635,1118.0
1504,1640,919.0
