,A,B,C,D,E
80,514,141,1686,232.0,1769.0
81,366,840,956,1892.0,1208.0
82,686,1741,1394,360.0,1732.0
83,1636,934,1487,1005.0,1302.0
84,1063,374,545,1598.0,1074.0
85,1979,363,769,879.0,1627.0
86,1194,1788,179,193.0,1931.0
87,1060,628,1331,1289.0,1415.0
88,1248,935,1052,1241.0,1950.0
89,94,1228,973,10.0,467.0
90,112,78,1711,1722.0,302.0
91,1064,1951,1239,1041.0,243.0
92,275,373,1883,69.0,1464.0
93,1053,913,1711,290.0,501.0
94,1618,1621,441,1782.0,333.0
95,1781,683,1214,631.0,1751.0
96,531,639,1086,588.0,1620.0
97,13,1162,1944,230.0,80.0
98,400,1182,1994,1432.0,1011.0
99,1047,48,1199,36.0,1107.0
100,1614,1128,1488,1398.0,526.0
101,246,148,1229,1874.0,1325.0
102,153,273,1613,522.0,1166.0
103,246,722,60,1631.0,1300.0
104,856,1127,1139,978.0,838.0
105,1239,735,1375,1139.0,791.0
106,251,1083,741,554.0,1655.0
107,551,330,879,851.0,1628.0
108,604,801,800,1072.0,126.0
109,1202,22,427,1875.0,209.0
110,1302,326,31,277.0,1158.0
111,1080,1125,385,460.0,347.0
112,1606,833,6,504.0,1058.0
113,1951,858,191,65.0,1145.0
114,1445,1638,1157,623.0,1948.0
115,935,1904,1432,1676.0,852.0
116,980,1378,1463,1136.0,1974.0
117,1634,1947,1667,1655.0,197.0
118,230,22,859,657.0,962.0
119,787,1655,60,76.0,1471.0
120,80,1283,1087,1129.0,1245.0
121,591,1928,61,1145.0,375.0
122,1159,1111,864,1441.0,1736.0
123,1796,398,1702,434.0,561.0
124,1625,1244,1924,723.0,284.0
125,706,1917,1100,1523.0,1168.0
126,1808,282,341,1955.0,86.0
127,194,1405,1082,1370.0,1906.0
128,401,1386,1704,1629.0,199.0
129,1576,861,413,148.0,1400.0
130,1368,867,847,1039.0,976.0
131,1305,1760,1436,233.0,1209.0
132,581,308,1115,926.0,1992.0
133,731,665,114,1925.0,885.0
134,1207,596,813,1155.0,1756.0
135,84,201,1602,165.0,1805.0
136,753,1997,80,1998.0,1920.0
137,1675,562,1596,1857.0,1338.0
138,1463,435,1267,1702.0,1490.0
139,1335,620,1331,89.0,1320.0
140,759,1988,773,964.0,721.0
141,618,411,1498,534.0,8.0
142,906,373,1465,1002.0,868.0
143,684,735,696,1734.0,1737.0
144,686,1658,1151,599.0,1877.0
145,1057,1682,641,326.0,1490.0
146,804,18,883,1444.0,146.0
147,1069,1769,1060,1005.0,503.0
148,1710,1150,1915,198.0,965.0
149,674,1599,140,210.0,1001.0
150,1310,306,414,1602.0,476.0
151,874,1303,686,1647.0,1423.0
152,347,1099,442,1545.0,1837.0
153,1632,1007,928,432.0,1468.0
154,1146,1139,387,45.0,1483.0
155,1207,751,1097,860.0,1824.0
156,1646,1069,1183,1736.0,1662.0
157,683,232,66,662.0,474.0
158,442,1528,874,933.0,425.0
159,1856,426,572,937.0,1219.0
160,820,1545,421,1747.0,1105.0
161,364,1377,1764,1806.0,811.0
162,1729,508,1297,402.0,1855.0
163,1675,1462,748,668.0,1091.0
164,1431,1629,1415,516.0,979.0
165,1830,1718,1174,1080.0,1149.0
166,1590,58,686,765.0,1084.0
167,1140,1706,1819,619.0,1507.0
168,941,1072,1414,376.0,407.0
169,234,435,309,1146.0,1603.0
170,84,1226,801,143.0,434.0
171,913,1727,287,1669.0,1668.0
172,917,1562,702,1756.0,145.0
173,905,1333,1413,1736.0,1490.0
174,25,1828,247,966.0,1088.0
175,1863,1272,1699,1763.0,1019.0
176,2,1051,1514,1020.0,344.0
177,1339,1419,1490,256.0,1665.0
178,1419,1773,1579,344.0,982.0
179,603,825,764,882.0,1806.0
180,413,688,1884,399.0,1226.0
181,1516,1715,1593,687.0,1510.0
182,685,1287,1374,715.0,1594.0
183,804,1906,642,820.0,1295.0
184,201,1437,55,395.0,1115.0
185,1690,1543,612,530.0,1160.0
186,1736,1782,1535,185.0,1666.0
187,1935,840,1216,1099.0,313.0
188,1653,469,956,1520.0,631.0
189,1719,1376,1788,404.0,82.0
190,1990,856,1000,1153.0,133.0
191,1303,1345,660,1631.0,964.0
192,1287,1435,1424,1574.0,1881.0
193,990,1169,130,1040.0,1596.0
194,311,359,444,1126.0,56.0
195,162,1850,1368,1722.0,1051.0
196,1323,653,553,1870.0,1368.0
197,717,1305,610,54.0,1935.0
198,127,430,1204,786.0,1815.0
199,1114,1313,1231,196.0,353.0
200,652,442,1180,591.0,1050.0
201,1262,627,964,688.0,1181.0
202,1291,1454,997,1333.0,788.0
203,662,1010,189,322.0,1341.0
204,1876,1363,1271,146.0,1751.0
205,416,1084,78,1895.0,1606.0
206,699,1146,1903,1525.0,1043.0
207,667,1515,1430,1396.0,372.0
208,891,859,540,920.0,449.0
209,636,1112,414,954.0,1116.0
210,1106,1899,1024,1447.0,673.0
211,836,635,1972,688.0,1777.0
212,1493,890,284,598.0,1113.0
213,108,843,1361,294.0,1882.0
214,664,1318,223,278.0,764.0
215,347,472,1542,101.0,631.0
216,823,1554,1415,1021.0,1403.0
217,1138,1063,1995,815.0,1758.0
218,832,549,986,1928.0,1821.0
219,743,590,1896,243.0,1871.0
220,81,248,1544,102.0,955.0
221,929,186,1502,225.0,872.0
222,540,759,698,1441.0,99.0
223,1613,145,1462,1209.0,716.0
224,1274,658,1745,817.0,560.0
225,167,1725,908,57.0,1327.0
226,1062,1714,1177,1483.0,602.0
227,663,1251,913,1796.0,992.0
228,1770,1991,1019,291.0,1112.0
229,454,1472,113,1275.0,1936.0
230,1691,1402,1643,445.0,1644.0
231,1182,1087,443,629.0,385.0
232,980,1563,88,1123.0,1475.0
233,443,1893,1534,1730.0,1782.0
234,1640,1511,848,1874.0,1871.0
235,1770,1751,1015,1488.0,1131.0
236,490,65,1365,1996.0,836.0
237,159,1558,452,1415.0,1533.0
238,1986,94,1129,1482.0,1612.0
239,1102,737,343,1161.0,111.0
240,904,205,163,1200.0,184.0
241,1576,1095,1541,1301.0,904.0
242,1788,1360,1207,1713.0,926.0
243,1948,1770,1122,1198.0,1438.0
244,353,1752,1440,531.0,1129.0
245,410,1448,388,37.0,1521.0
246,1622,1082,885,895.0,1594.0
247,1908,306,425,957.0,571.0
248,1685,1613,1078,1488.0,1203.0
249,1798,906,1380,1463.0,228.0
250,1227,1894,556,24.0,1052.0
251,450,742,310,920.0,1673.0
252,1536,367,1446,187.0,733.0
253,775,1863,1380,930.0,283.0
254,1534,1878,1036,1129.0,209.0
255,968,1075,540,1048.0,1155.0
256,253,910,463,1060.0,25.0
257,15,1389,1034,78.0,217.0
258,616,433,1711,980.0,1893.0
259,944,50,881,1976.0,1017.0
260,1026,244,1117,904.0,1337.0
261,1590,1365,1581,500.0,1537.0
262,1829,1926,1607,111.0,1061.0
263,701,1783,317,419.0,1977.0
264,1382,586,1323,1684.0,487.0
265,1308,61,548,27.0,27.0
266,358,314,1352,2.0,51.0
267,517,1415,1331,890.0,1031.0
268,1629,211,467,1298.0,1753.0
269,1455,1872,1265,295.0,106.0
270,1071,640,1390,810.0,659.0
271,1392,1912,1853,699.0,959.0
272,756,1235,885,1251.0,1762.0
273,1763,1099,891,592.0,430.0
274,1808,1963,964,197.0,982.0
275,939,1338,415,720.0,1568.0
276,678,15,1441,871.0,905.0
277,590,1083,486,1860.0,333.0
278,526,1851,225,1560.0,1009.0
279,1088,525,1566,888.0,137.0
280,308,841,945,1552.0,807.0
281,1842,1891,582,1010.0,457.0
282,305,944,342,163.0,1472.0
283,559,84,315,620.0,1400.0
284,325,65,1158,1579.0,64.0
285,1720,1944,1856,177.0,723.0
286,310,997,820,1822.0,831.0
287,688,1534,1655,589.0,1835.0
288,1534,245,1584,103.0,1694.0
289,1722,32,1771,820.0,327.0
290,243,1213,1191,536.0,1742.0
291,504,1759,643,1526.0,475.0
292,1760,504,1212,1569.0,1060.0
293,54,761,1843,489.0,114.0
294,1199,114,1748,420.0,1988.0
295,1206,942,1310,281.0,1284.0
296,1737,898,1500,448.0,296.0
297,1607,1310,266,429.0,635.0
298,1407,1155,800,1552.0,534.0
299,987,677,1617,633.0,504.0
300,1624,1603,1941,305.0,1253.0
301,1645,1812,852,878.0,6.0
302,532,1831,64,64.0,1752.0
303,342,598,853,1472.0,1456.0
304,290,1996,1306,1274.0,374.0
305,1942,795,1033,96.0,520.0
306,638,914,193,1909.0,1977.0
307,145,540,992,1046.0,1284.0
308,793,1115,1245,779.0,1339.0
309,321,1397,375,1540.0,955.0
310,1683,111,823,1444.0,662.0
311,6,675,301,492.0,1367.0
312,1626,1545,1984,760.0,388.0
313,145,1742,635,1394.0,1991.0
314,1736,538,1877,1609.0,405.0
315,662,336,498,392.0,1457.0
316,459,698,1981,1513.0,238.0
317,709,1613,737,1175.0,1551.0
318,873,480,935,563.0,1392.0
319,1031,377,1345,1830.0,772.0
320,1421,761,669,1966.0,1711.0
321,1285,1822,969,1730.0,1163.0
322,1117,697,1457,1386.0,1578.0
323,806,751,478,1231.0,805.0
324,1751,1088,104,648.0,917.0
325,544,747,1232,1487.0,426.0
326,1813,29,1628,1086.0,1691.0
327,1593,910,1493,1739.0,936.0
328,801,1573,1062,721.0,1254.0
329,267,866,1292,345.0,1895.0
330,1618,664,403,833.0,98.0
331,824,1058,1221,1819.0,53.0
332,361,1427,468,153.0,939.0
333,1012,607,139,1251.0,1518.0
334,18,1795,617,546.0,1539.0
335,1763,884,89,1695.0,765.0
336,461,1894,326,1877.0,846.0
337,544,1400,722,1411.0,996.0
338,1341,407,1294,557.0,1877.0
339,1399,467,1970,886.0,1523.0
340,1537,1478,1816,1888.0,27.0
341,1858,1034,732,1732.0,1635.0
342,1872,237,1696,308.0,1072.0
343,1548,1831,36,1077.0,164.0
344,1743,1776,307,29.0,891.0
345,1157,973,1469,948.0,1718.0
346,1514,1562,1332,554.0,137.0
347,546,1760,490,1189.0,917.0
348,579,586,886,330.0,856.0
349,816,780,1577,1964.0,1650.0
350,547,494,1489,1635.0,382.0
351,1110,154,1584,490.0,731.0
352,1838,1462,1800,929.0,60.0
353,65,1069,1472,1595.0,1680.0
354,1858,976,1049,1496.0,840.0
355,504,208,1184,740.0,700.0
356,1663,118,1387,1212.0,589.0
357,1936,1184,1668,3.0,1694.0
358,1215,1262,1773,797.0,1552.0
359,528,253,1645,309.0,183.0
360,935,1850,1837,1354.0,398.0
361,820,320,1421,246.0,1812.0
362,573,695,376,1937.0,1133.0
363,1169,965,1469,699.0,829.0
364,1513,1723,501,1708.0,1780.0
365,1984,164,1366,1730.0,1786.0
366,1527,360,1608,958.0,1885.0
367,1910,1889,221,1007.0,1508.0
368,131,257,1198,1736.0,926.0
369,331,1825,1921,502.0,1166.0
370,1502,1508,467,1711.0,164.0
371,1413,1434,1220,2.0,746.0
372,1825,498,1369,142.0,686.0
373,1122,763,1066,1933.0,344.0
374,224,1922,649,1050.0,512.0
375,1988,449,655,603.0,1145.0
376,909,1348,1533,1184.0,1715.0
377,477,1763,1748,1252.0,663.0
378,1423,1493,1145,1830.0,831.0
379,512,926,854,215.0,902.0
380,1164,343,642,1959.0,1211.0
381,1067,1618,1058,789.0,848.0
382,436,942,1086,893.0,1767.0
383,1133,1735,357,5.0,1134.0
384,1925,966,864,1068.0,1254.0
385,463,1916,1074,98.0,728.0
386,432,1593,1456,497.0,945.0
387,1589,421,296,654.0,1538.0
388,1483,791,1281,434.0,930.0
389,914,1502,682,1465.0,1189.0
390,1091,509,781,1675.0,1864.0
391,381,1269,1881,1216.0,913.0
392,72,772,1704,1987.0,414.0
393,938,1148,7,1927.0,893.0
394,128,421,106,372.0,683.0
395,1067,1375,1750,93.0,1329.0
396,1154,823,750,453.0,725.0
397,721,1511,680,1999.0,38.0
398,171,1540,1276,1653.0,530.0
399,81,1547,1396,1905.0,1228.0
400,292,1557,174,723.0,583.0
401,675,286,610,1530.0,1866.0
402,32,403,1669,153.0,880.0
403,1547,200,46,234.0,1512.0
404,752,1351,1491,1567.0,666.0
405,1426,1967,661,1191.0,1952.0
406,722,1627,1834,253.0,1063.0
407,1394,791,984,1418.0,819.0
408,1874,514,1955,1533.0,160.0
409,1209,1482,1373,1715.0,1780.0
410,750,343,456,1062.0,667.0
411,160,656,1468,156.0,1960.0
412,92,842,1349,1367.0,778.0
413,186,1837,1105,93.0,1422.0
414,1560,1489,501,37.0,1461.0
415,1480,883,1205,1470.0,1142.0
416,564,864,1327,1729.0,446.0
417,1554,1091,1393,690.0,1856.0
418,304,1836,1948,87.0,663.0
419,1339,1981,70,1573.0,342.0
420,930,1660,1719,1479.0,1966.0
421,796,35,1473,843.0,340.0
422,1079,816,1160,613.0,1775.0
423,1608,847,790,1607.0,1947.0
424,92,1857,820,1172.0,1079.0
425,770,1162,1438,720.0,160.0
426,158,1723,711,1613.0,1130.0
427,948,157,1440,1016.0,1061.0
428,7,796,61,1795.0,407.0
429,271,109,222,441.0,855.0
430,1047,997,722,1195.0,1717.0
431,487,1312,1605,1517.0,1437.0
432,1734,244,274,1478.0,1290.0
433,632,618,1352,1593.0,424.0
434,537,1543,982,829.0,488.0
435,1807,1940,669,1260.0,1806.0
436,1098,1798,754,1822.0,847.0
437,1985,425,811,1868.0,1607.0
438,1012,1603,459,1779.0,68.0
439,1450,755,1898,2.0,911.0
440,981,428,434,298.0,122.0
441,1679,883,1708,1820.0,280.0
442,984,1638,860,1787.0,634.0
443,1192,68,1724,1460.0,596.0
444,1659,1761,959,1662.0,1078.0
445,1186,707,723,37.0,78.0
446,1465,1466,1798,762.0,876.0
447,239,190,1409,999.0,777.0
448,95,580,809,1401.0,383.0
449,549,1982,381,643.0,949.0
450,1988,1954,733,1978.0,586.0
451,992,1255,1779,1296.0,1619.0
452,838,1541,1920,1010.0,1964.0
453,821,342,1605,1301.0,950.0
454,482,1182,428,821.0,1320.0
455,651,599,691,277.0,935.0
456,807,1968,103,741.0,1998.0
457,742,723,1209,562.0,896.0
458,1920,1377,129,509.0,750.0
459,1756,56,1868,1264.0,1935.0
460,403,1977,1993,8.0,1519.0
461,710,328,926,1030.0,1311.0
462,1738,1302,1146,309.0,1444.0
463,4,802,578,728.0,1114.0
464,1684,1149,1644,818.0,784.0
465,844,1910,1473,1641.0,1256.0
466,568,371,252,1255.0,355.0
467,1824,1672,37,1079.0,896.0
468,709,1551,1495,905.0,1867.0
469,1637,177,1356,60.0,1903.0
470,1724,1049,182,1345.0,191.0
471,427,1875,1916,562.0,1539.0
472,715,1550,161,204.0,1604.0
473,1843,1662,1325,901.0,1000.0
474,1941,449,1879,199.0,1454.0
475,174,1638,447,1061.0,1847.0
476,738,1879,881,1336.0,269.0
477,1532,674,1903,986.0,1815.0
478,772,1529,667,1022.0,1173.0
479,542,852,425,337.0,1611.0
480,403,1645,731,1503.0,1935.0
481,1257,1316,1470,928.0,1565.0
482,1552,1082,1604,103.0,1135.0
483,746,1749,266,411.0,1085.0
484,1554,86,1251,728.0,1075.0
485,1971,1103,738,1477.0,405.0
486,1705,388,1401,260.0,1915.0
487,1418,685,1752,30.0,1813.0
488,429,716,269,763.0,1394.0
489,626,1047,996,1581.0,910.0
490,131,771,800,519.0,961.0
491,140,1393,1311,618.0,798.0
492,1829,1600,405,1611.0,42.0
493,1738,1663,983,34.0,155.0
494,914,1929,945,491.0,1524.0
495,964,402,147,758.0,683.0
496,1239,1367,1440,1783.0,1988.0
497,71,1972,1102,1468.0,1946.0
498,588,1556,1051,1231.0,1695.0
499,1990,420,1084,914.0,369.0
500,1747,1224,264,1341.0,1780.0
501,1995,487,1947,453.0,9.0
502,1153,1674,1958,1814.0,1536.0
503,1729,1896,787,1236.0,781.0
504,822,1570,1647,1090.0,1984.0
505,1557,1360,44,1192.0,273.0
506,42,241,1541,833.0,588.0
507,1142,498,477,1866.0,1450.0
508,1169,654,1804,508.0,1546.0
509,1451,1580,1175,820.0,474.0
510,191,432,1027,521.0,1148.0
511,672,1232,1758,472.0,182.0
512,1121,128,885,855.0,786.0
513,1835,470,1391,175.0,676.0
514,431,1881,1885,1754.0,1534.0
515,1195,770,1387,68.0,959.0
516,389,1165,1625,1672.0,53.0
517,595,1552,476,1167.0,187.0
518,1726,498,1414,905.0,1310.0
519,7,1832,1476,1150.0,938.0
520,274,1508,470,922.0,673.0
521,1023,1075,917,1594.0,798.0
522,1080,1785,1669,1351.0,612.0
523,214,220,1341,1158.0,1395.0
524,212,1874,1483,680.0,1419.0
525,1625,1287,865,1978.0,490.0
526,1443,1252,1093,1544.0,258.0
527,1407,1563,1625,1539.0,1817.0
528,689,1116,1662,1420.0,746.0
529,486,147,322,1000.0,1114.0
530,1752,1942,1554,41.0,598.0
531,353,1836,31,1648.0,79.0
532,1831,613,237,1380.0,628.0
533,1519,751,1836,1889.0,955.0
534,1968,598,1858,281.0,769.0
535,342,1772,442,1152.0,164.0
536,1824,106,776,864.0,1344.0
537,193,651,18,1188.0,178.0
538,1248,1301,1985,1218.0,1187.0
539,1120,336,935,1730.0,1636.0
540,79,1839,1698,1861.0,1897.0
541,907,923,1570,337.0,1288.0
542,1712,1086,1508,918.0,1789.0
543,107,1403,1821,835.0,1766.0
544,1270,1571,1639,1249.0,12.0
545,1510,189,446,183.0,1598.0
546,1108,1473,868,656.0,314.0
547,289,1205,659,1779.0,693.0
548,385,1701,513,654.0,691.0
549,885,545,1278,94.0,266.0
550,829,741,1451,1538.0,421.0
551,1271,1204,1977,,
