,M,N,O,P
99,770,725,853,729.0
100,1024,1263,1709,1173.0
101,1725,1233,611,1830.0
102,1539,1409,1976,713.0
103,1706,1349,891,1253.0
104,245,1057,1839,1063.0
105,1353,839,1048,1828.0
106,576,1076,1064,615.0
107,322,969,1579,697.0
108,1258,397,704,1507.0
109,118,1081,1185,1878.0
110,996,1839,1876,28.0
111,1107,1577,1065,1516.0
112,1795,1234,1338,743.0
113,1956,1769,1191,10.0
114,135,1779,263,1697.0
115,337,1302,1864,1507.0
116,415,1915,400,416.0
117,837,1972,1516,1146.0
118,1049,1936,1523,1895.0
119,1659,1540,292,846.0
120,1533,1151,1416,1936.0
121,603,932,1816,17.0
122,1884,1474,1386,1223.0
123,1005,162,570,1358.0
124,1160,1715,1366,1168.0
125,1993,1538,974,1853.0
126,1346,503,903,1056.0
127,515,234,678,698.0
128,881,1381,54,1365.0
129,1254,1554,1105,45.0
130,1804,553,1561,315.0
131,1974,948,749,304.0
132,1670,558,1562,1997.0
133,508,435,1554,186.0
134,865,1710,680,109.0
135,142,1690,1161,1993.0
136,954,447,872,1455.0
137,1895,1642,1783,269.0
138,275,864,107,866.0
139,1848,71,1811,1890.0
140,1560,131,694,625.0
141,120,1960,501,1852.0
142,912,1347,1881,1429.0
143,1831,246,544,300.0
144,1325,1395,1557,229.0
145,1473,1658,568,792.0
146,224,464,1220,1325.0
147,1208,1941,1532,455.0
148,634,286,1198,451.0
149,1139,452,749,681.0
150,1744,3,1979,351.0
151,1062,1711,1974,1461.0
152,1215,736,225,590.0
153,719,1421,1484,388.0
154,603,934,1962,7.0
155,166,1098,1648,1691.0
156,1169,949,754,1545.0
157,1591,910,40,1840.0
158,572,998,1473,666.0
159,1070,1872,139,862.0
160,549,1593,1217,1360.0
161,600,638,529,780.0
162,119,1487,1578,162.0
163,1675,1889,648,1407.0
164,789,383,1707,577.0
165,1482,512,351,1557.0
166,179,1086,857,594.0
167,1760,698,1037,907.0
168,1193,1252,1868,112.0
169,1355,1860,1473,1620.0
170,1046,168,1601,1584.0
171,810,129,1697,1625.0
172,1638,763,1866,673.0
173,1134,572,255,1142.0
174,1253,200,599,155.0
175,42,1898,428,286.0
176,780,185,1541,1847.0
177,1610,229,446,561.0
178,489,800,875,1604.0
179,381,316,1334,1958.0
180,719,465,814,1549.0
181,797,955,1645,1745.0
182,533,870,1591,1971.0
183,1182,1382,471,217.0
184,890,1060,465,320.0
185,1125,1068,27,448.0
186,1222,72,187,739.0
187,1368,1187,27,1979.0
188,976,194,148,67.0
189,1718,749,1575,5.0
190,1581,37,556,1245.0
191,1764,577,1122,1821.0
192,924,1893,1773,1164.0
193,1633,486,804,440.0
194,1495,864,334,1563.0
195,1879,258,1176,58.0
196,397,1635,196,596.0
197,969,315,41,736.0
198,819,1645,1997,1785.0
199,1124,1790,213,693.0
200,1672,1295,1829,918.0
201,1062,1838,815,1751.0
202,59,204,92,1053.0
203,1598,1392,1114,160.0
204,31,1129,1098,1330.0
205,1889,1448,577,1067.0
206,1517,318,410,1121.0
207,139,919,723,1312.0
208,386,108,1770,308.0
209,526,869,1423,1847.0
210,1983,1805,1036,952.0
211,85,1711,1228,300.0
212,499,855,1493,1183.0
213,1228,537,529,570.0
214,267,1244,845,1769.0
215,1648,942,1191,635.0
216,709,1129,1916,1991.0
217,450,1366,1234,1420.0
218,558,1795,1835,477.0
219,529,341,676,1637.0
220,1151,1244,339,1723.0
221,1902,1588,1266,868.0
222,511,653,687,1827.0
223,1425,915,1509,533.0
224,1864,1604,1104,1046.0
225,1665,628,556,946.0
226,1587,1943,690,650.0
227,840,27,453,236.0
228,1354,1252,666,520.0
229,1263,1016,222,822.0
230,1196,1519,999,1878.0
231,1205,1632,1553,1111.0
232,1727,575,470,1309.0
233,1694,1342,758,192.0
234,509,1943,1342,1172.0
235,1176,44,1838,346.0
236,1623,1725,81,696.0
237,96,43,1844,847.0
238,379,637,887,1001.0
239,1485,1590,1090,1728.0
240,1267,190,1380,1621.0
241,716,1322,1441,1190.0
242,1629,1952,1433,1946.0
243,313,755,1224,229.0
244,1660,612,714,1489.0
245,1682,1745,1014,144.0
246,1658,1321,1406,1993.0
247,1842,877,1470,590.0
248,1314,1476,1968,677.0
249,1662,926,1800,254.0
250,1478,1365,1701,1717.0
251,1356,1767,48,62.0
252,707,593,35,927.0
253,411,1568,195,808.0
254,1810,1043,1817,592.0
255,714,45,84,1542.0
256,399,964,603,1773.0
257,997,1717,1079,1271.0
258,885,1632,298,1788.0
259,1516,1539,1314,1273.0
260,1376,839,1207,514.0
261,577,1387,91,1149.0
262,1995,1984,391,641.0
263,1616,1029,1829,961.0
264,88,891,1781,1640.0
265,1338,1269,547,1207.0
266,1763,536,83,753.0
267,290,1420,601,1245.0
268,870,956,272,1089.0
269,1989,1373,1110,203.0
270,1554,421,1374,1892.0
271,266,254,1510,790.0
272,745,111,1056,227.0
273,775,1989,1285,1919.0
274,1978,1692,631,1509.0
275,1227,1927,569,1539.0
276,1175,1710,415,1587.0
277,950,1363,1201,1517.0
278,613,595,1056,1198.0
279,1144,1708,257,1221.0
280,1262,817,1978,1441.0
281,73,542,1019,1511.0
282,556,302,678,1511.0
283,1361,1537,1795,1187.0
284,1430,1966,1307,1283.0
285,1669,497,1510,353.0
286,571,1793,1153,966.0
287,601,319,828,1648.0
288,505,1240,1314,1657.0
289,1618,1076,171,1017.0
290,1403,307,572,1702.0
291,262,1133,1806,274.0
292,384,1672,1537,1298.0
293,637,1285,677,1296.0
294,1618,346,1768,220.0
295,1052,807,35,1219.0
296,1764,1691,1293,209.0
297,1188,657,1782,472.0
298,1347,894,578,945.0
299,1382,1567,1244,669.0
300,618,404,285,817.0
301,578,251,299,496.0
302,1392,217,78,102.0
303,1782,995,1314,800.0
304,363,1972,181,379.0
305,25,1268,1459,50.0
306,824,383,622,1340.0
307,222,311,1604,548.0
308,743,288,1018,1252.0
309,967,1515,50,512.0
310,1207,1162,399,106.0
311,946,616,1210,1823.0
312,1875,409,1439,1833.0
313,214,743,673,1451.0
314,507,141,561,934.0
315,1491,1105,107,1779.0
316,1324,1032,342,546.0
317,1869,240,129,1023.0
318,1137,1758,788,761.0
319,1546,579,1244,339.0
320,1349,1033,1544,513.0
321,286,1905,1426,1180.0
322,1525,1065,1739,507.0
323,1549,1158,1259,1836.0
324,1202,266,1922,67.0
325,917,1857,1804,812.0
326,1481,1184,1421,1831.0
327,1825,1143,549,1960.0
328,1119,1457,1165,168.0
329,1873,60,1608,746.0
330,932,1870,621,811.0
331,306,844,1250,429.0
332,558,794,485,658.0
333,521,604,816,1933.0
334,1152,1605,1654,134.0
335,1781,1006,1544,579.0
336,987,1683,936,291.0
337,763,162,1950,146.0
338,1707,823,1684,544.0
339,190,1429,1755,313.0
340,1164,1148,144,239.0
341,356,736,33,1736.0
342,1962,253,353,315.0
343,1720,1385,1465,80.0
344,1955,1559,1383,1805.0
345,979,1975,1786,754.0
346,1624,68,1767,854.0
347,1781,505,454,1318.0
348,1288,1919,1224,254.0
349,1067,1689,1774,158.0
350,1795,1379,674,517.0
351,816,472,417,1971.0
352,1712,1446,854,1091.0
353,1822,1421,1800,1533.0
354,965,1895,568,610.0
355,342,1479,1794,1052.0
356,498,1534,1409,1468.0
357,167,1421,966,798.0
358,1835,1587,672,1746.0
359,1851,343,1250,1159.0
360,753,214,1207,1674.0
361,264,597,594,1338.0
362,27,1222,949,399.0
363,516,700,1627,731.0
364,1234,227,496,344.0
365,644,593,1009,980.0
366,426,440,1360,671.0
367,1436,936,391,1720.0
368,901,63,673,975.0
369,1618,780,1945,1257.0
370,1861,347,1605,868.0
371,728,1745,671,355.0
372,606,818,530,1224.0
373,880,1094,1590,331.0
374,1095,502,1905,1279.0
375,1291,1758,1644,730.0
376,1242,1115,576,1491.0
377,682,1226,664,1042.0
378,281,842,1449,1386.0
379,1550,1768,155,1910.0
380,295,1,1671,1452.0
381,1828,1252,785,1415.0
382,1087,1791,1939,1410.0
383,1665,967,1901,1392.0
384,664,845,1136,452.0
385,534,1637,1216,1732.0
386,1859,707,1666,1169.0
387,1014,998,204,357.0
388,978,1882,16,1244.0
389,1337,1157,489,1664.0
390,1567,380,360,1564.0
391,1922,334,1614,594.0
392,285,728,770,551.0
393,623,1140,207,853.0
394,1004,673,1673,355.0
395,1436,1110,2000,1245.0
396,1275,1937,885,1478.0
397,1728,558,288,1903.0
398,369,633,68,364.0
399,371,845,431,1493.0
400,1675,1029,15,288.0
401,1424,1586,65,1952.0
402,1523,76,658,882.0
403,295,467,219,1451.0
404,299,1090,1852,1424.0
405,782,732,362,1580.0
406,601,1872,1048,1021.0
407,938,1139,141,13.0
408,708,842,1043,1177.0
409,1719,1968,1287,1527.0
410,947,1656,734,1779.0
411,424,802,1408,1414.0
412,955,1159,141,1511.0
413,1974,833,708,1259.0
414,666,218,1301,1982.0
415,1932,186,959,411.0
416,76,290,1679,55.0
417,605,467,1886,881.0
418,1323,1796,1858,1612.0
419,1130,252,1924,1393.0
420,1027,755,455,1558.0
421,145,968,448,771.0
422,384,974,1943,866.0
423,194,876,400,1139.0
424,870,455,858,1468.0
425,1550,1040,330,759.0
426,1746,438,35,1460.0
427,1902,1862,1178,1964.0
428,1194,1740,849,1829.0
429,946,878,368,1427.0
430,885,491,138,206.0
431,1498,625,1706,1787.0
432,1365,395,1383,1545.0
433,1459,555,1935,68.0
434,1317,1251,1981,225.0
435,63,702,823,1541.0
436,1123,1233,465,1368.0
437,1361,976,222,697.0
438,578,1903,1698,1054.0
439,250,1202,1888,220.0
440,1978,1278,1005,1751.0
441,295,1966,1456,252.0
442,713,326,1905,892.0
443,1694,256,1929,424.0
444,435,1427,815,705.0
445,1443,427,687,1615.0
446,1152,1738,1800,582.0
447,260,988,922,1655.0
448,518,1867,1786,851.0
449,1174,143,1849,494.0
450,1376,1754,1496,550.0
451,1028,429,1626,345.0
452,216,766,1514,661.0
453,575,1117,839,474.0
454,1761,849,176,205.0
455,848,225,265,910.0
456,665,1799,1262,310.0
457,918,598,1116,1427.0
458,1097,382,1418,952.0
459,1476,910,1132,1731.0
460,39,1383,1942,1123.0
461,517,512,1856,915.0
462,1522,1660,1923,960.0
463,1259,337,99,1394.0
464,56,9,1348,1377.0
465,1457,1940,932,1661.0
466,223,687,906,1265.0
467,919,325,1872,474.0
468,1814,285,482,858.0
469,1988,1868,1439,1019.0
470,1865,390,629,845.0
471,1718,96,1732,558.0
472,1690,515,568,1837.0
473,130,1790,653,986.0
474,555,346,45,295.0
475,560,1803,1437,1992.0
476,1505,339,1821,839.0
477,687,1181,633,690.0
478,618,1152,310,80.0
479,845,1465,629,337.0
480,1938,384,1528,1854.0
481,740,1807,458,188.0
482,483,282,949,1368.0
483,1375,989,152,209.0
484,1847,911,149,288.0
485,547,843,1012,876.0
486,553,1450,690,1963.0
487,1650,1778,573,1482.0
488,1721,1418,885,1564.0
489,332,583,1650,1465.0
490,859,1222,1184,494.0
491,1239,427,1947,1449.0
492,1357,171,1940,1526.0
493,1927,342,1519,1502.0
494,1751,339,1986,1235.0
495,1793,1513,1544,1038.0
496,1785,621,125,1923.0
497,352,139,1259,1622.0
498,150,1042,829,927.0
499,193,1234,792,19.0
500,1493,1783,1153,1973.0
501,1124,1761,1086,29.0
502,1859,1281,298,418.0
503,618,993,54,357.0
504,787,765,1770,611.0
505,1786,307,1054,428.0
506,1403,673,927,1259.0
507,689,987,1520,85.0
508,412,1016,877,1007.0
509,497,1888,1740,1991.0
510,1346,588,528,122.0
511,118,1905,1495,967.0
512,387,935,1267,1645.0
513,985,475,1114,1068.0
514,1464,853,600,266.0
515,1090,612,930,989.0
516,1925,431,504,982.0
517,290,795,626,439.0
518,1272,356,1888,1564.0
519,1284,1183,1192,686.0
520,344,735,1337,210.0
521,567,1659,472,1570.0
522,979,36,1273,79.0
523,1817,269,1924,394.0
524,451,516,389,1238.0
525,949,57,1765,1266.0
526,767,1941,5,1648.0
527,606,1887,1768,554.0
528,1989,559,1690,1609.0
529,694,326,833,453.0
530,1363,46,601,1749.0
531,1840,450,1123,1235.0
532,674,458,462,889.0
533,1533,899,1892,605.0
534,1292,1622,135,1786.0
535,1237,933,13,687.0
536,1378,309,747,1215.0
537,249,297,98,1789.0
538,1283,470,371,1858.0
539,488,1059,1593,705.0
540,240,1084,1169,826.0
541,856,809,1824,92.0
542,745,354,1594,1949.0
543,22,1421,1023,1861.0
544,432,778,75,723.0
545,1189,179,273,1170.0
546,444,1563,1179,1044.0
547,1200,1938,1402,1309.0
548,1670,1524,851,754.0
549,1223,255,1307,1159.0
550,266,414,1063,383.0
551,1665,1903,389,1211.0
552,1298,507,1552,1665.0
553,1551,603,80,493.0
554,612,55,1825,203.0
555,355,1677,1823,1914.0
556,1129,799,592,973.0
557,83,1177,1413,1088.0
558,956,720,1969,596.0
559,1518,198,700,1752.0
560,1551,1351,174,173.0
561,638,1143,1701,1221.0
562,1422,1760,1098,1529.0
563,637,704,343,1652.0
564,1363,1098,112,1546.0
565,1175,1176,1329,1678.0
566,266,1215,21,929.0
567,15,1220,1552,60.0
568,1036,1742,1911,1134.0
569,388,136,523,555.0
570,282,1253,580,755.0
571,1389,613,197,1207.0
572,944,174,1564,1280.0
573,735,129,4,699.0
574,375,880,1472,1787.0
575,1454,218,683,481.0
576,1318,1069,1797,1616.0
577,31,1831,1508,1374.0
578,1887,1394,1483,1671.0
579,1704,1960,1590,1423.0
580,1160,531,1040,271.0
581,864,1213,1450,296.0
582,218,595,1671,872.0
583,1075,1408,1077,606.0
584,352,235,1686,365.0
585,1723,948,230,1621.0
586,1700,1418,1130,1490.0
587,1448,88,1476,878.0
588,744,330,804,331.0
589,275,914,1670,257.0
590,994,1152,410,320.0
591,716,647,735,1494.0
592,866,398,260,1988.0
593,775,1270,1326,766.0
594,1960,965,1644,960.0
595,530,952,1885,31.0
596,1169,1405,93,80.0
597,559,581,1437,82.0
598,1054,294,867,1994.0
599,873,870,1684,979.0
600,1458,1112,1632,1100.0
601,1898,515,830,1741.0
602,953,499,632,498.0
603,568,1298,9,1621.0
604,665,916,343,784.0
605,1725,715,1570,1299.0
606,1926,925,1361,1343.0
607,1178,162,755,186.0
608,1736,1133,1535,1599.0
609,613,1058,1453,1311.0
610,1256,1771,1022,357.0
611,1853,1678,1366,555.0
612,865,910,1134,1641.0
613,1022,1545,1748,1277.0
614,1952,1476,922,1077.0
615,1463,39,21,99.0
616,1429,265,393,801.0
617,841,531,7,1643.0
618,351,875,421,376.0
619,1617,1205,1494,153.0
620,463,1209,585,1593.0
621,1829,934,731,1284.0
622,1111,339,1807,899.0
623,1543,284,653,789.0
624,1522,1434,456,790.0
625,1359,584,137,201.0
626,1123,1976,1213,1113.0
627,897,1170,1706,194.0
628,941,1696,1356,927.0
629,7,1713,1393,132.0
630,1044,1811,1661,1317.0
631,695,1314,174,286.0
632,1403,1153,746,1860.0
633,1983,216,697,1254.0
634,1495,1127,1321,1857.0
635,312,1799,1344,1383.0
636,1831,1729,1554,1093.0
637,739,1270,1702,870.0
638,1648,53,702,1210.0
639,67,339,1438,1688.0
640,897,1787,664,311.0
641,201,1694,546,1013.0
642,740,428,188,1904.0
643,791,1292,1297,1879.0
644,258,618,1005,129.0
645,1155,1882,927,1480.0
646,1243,1396,49,793.0
647,259,363,19,1969.0
648,844,1252,1708,1644.0
649,615,515,386,435.0
650,289,1126,1748,1421.0
651,962,1975,1911,735.0
652,1304,596,1632,229.0
653,734,1001,1475,1099.0
654,620,1208,975,721.0
655,539,893,30,797.0
656,1656,1887,135,460.0
657,1925,599,681,1346.0
658,1566,1005,310,1241.0
659,4,1581,927,498.0
660,1016,374,1420,1713.0
661,796,969,752,1669.0
662,1388,271,1755,325.0
663,1797,1559,1235,1582.0
664,1159,339,1035,891.0
665,733,1611,721,807.0
666,1543,1541,937,1164.0
667,2,141,35,1271.0
668,1748,834,1358,120.0
669,725,487,657,71.0
670,857,1102,246,417.0
671,713,1037,1637,941.0
672,1017,165,159,52.0
673,666,1768,1748,291.0
674,894,1102,802,726.0
675,1044,1385,516,1576.0
676,1802,1423,1314,1771.0
677,950,288,782,1792.0
678,644,492,1789,631.0
679,1976,696,1225,938.0
680,1071,362,1418,1205.0
681,1196,237,1802,1909.0
682,1455,677,16,589.0
683,239,88,1065,1226.0
684,850,1996,1709,803.0
685,630,876,509,1264.0
686,915,1803,843,692.0
687,1226,700,132,127.0
688,1506,544,243,1048.0
689,513,769,251,341.0
690,1562,1869,1178,306.0
691,1312,834,1609,1663.0
692,1713,482,1144,1986.0
693,1283,841,284,179.0
694,350,352,1747,1535.0
695,147,807,1220,1921.0
696,1851,1505,352,1225.0
697,876,655,241,414.0
698,1537,253,150,1352.0
699,264,182,1356,1417.0
700,1985,1757,506,420.0
701,582,1480,1881,1770.0
702,124,877,1756,1081.0
703,1126,1332,52,1818.0
704,572,1759,1259,542.0
705,374,176,1088,49.0
706,377,873,976,672.0
707,306,1020,67,1473.0
708,1281,161,1392,565.0
709,83,149,1440,878.0
710,1988,682,268,1440.0
711,652,1174,376,1213.0
712,1509,1583,1176,1229.0
713,436,1737,835,948.0
714,1792,1751,700,1747.0
715,1280,1259,1999,637.0
716,130,1099,1206,946.0
717,1596,698,460,57.0
718,210,1572,241,1798.0
719,1305,1216,145,1134.0
720,849,455,1673,1816.0
721,1179,1929,1448,1220.0
722,901,181,627,1362.0
723,1562,1295,409,1085.0
724,1720,329,1979,720.0
725,1092,1356,1807,1445.0
726,1939,986,1071,830.0
727,1714,1837,180,642.0
728,1661,1747,1128,1937.0
729,631,1833,1589,1528.0
730,1124,870,1154,1207.0
731,1900,431,1813,1836.0
732,675,314,23,97.0
733,1416,1031,1750,458.0
734,1868,240,1331,316.0
735,39,1001,1712,1542.0
736,837,422,772,834.0
737,1536,1699,1837,989.0
738,577,744,1402,373.0
739,765,1789,1964,1487.0
740,1971,330,1722,360.0
741,407,1406,1405,948.0
742,1829,907,1668,1262.0
743,61,1742,1384,1469.0
744,863,1834,1153,1701.0
745,1704,649,566,58.0
746,1135,280,17,1985.0
747,581,610,699,569.0
748,1950,295,115,1045.0
749,1635,574,823,40.0
750,1661,1384,679,1266.0
751,610,1757,1347,868.0
752,1692,547,922,53.0
753,483,384,1699,608.0
754,17,997,1249,318.0
755,1875,1203,604,669.0
756,1806,841,781,426.0
757,741,1385,1744,1986.0
758,1432,798,242,264.0
759,1259,1171,1678,1804.0
760,1969,18,1132,1434.0
761,1698,348,120,1213.0
762,1690,1796,1369,445.0
763,1103,1982,654,826.0
764,140,632,232,1657.0
765,1222,1976,943,1975.0
766,39,1153,1740,1239.0
767,142,228,538,667.0
768,1703,256,1314,154.0
769,1858,542,109,1178.0
770,622,242,742,1438.0
771,1428,148,734,384.0
772,1077,1576,911,1445.0
773,498,1753,1690,1417.0
774,471,685,584,441.0
775,1315,774,311,1652.0
776,1535,1395,1911,27.0
777,1926,1987,1879,1616.0
778,1388,1776,1167,504.0
779,1894,1882,1624,1980.0
780,1777,590,365,1385.0
781,1471,239,1163,94.0
782,1106,1281,443,122.0
783,1203,1837,915,31.0
784,1462,1017,1687,1251.0
785,478,1489,1067,444.0
786,675,537,1479,1699.0
787,1721,70,1646,1270.0
788,382,1926,266,1775.0
789,732,1298,475,360.0
790,131,1260,1030,611.0
791,674,1706,1694,1741.0
792,431,1034,1844,815.0
793,451,762,430,903.0
794,638,903,1554,1226.0
795,1098,1528,621,1675.0
796,1494,488,1087,400.0
797,1833,1417,1158,1003.0
798,775,1674,1342,575.0
799,207,867,247,47.0
800,555,1998,407,1779.0
801,266,1330,769,448.0
802,187,767,812,1124.0
803,808,1661,1386,1466.0
804,1939,816,1425,905.0
805,14,1587,319,1404.0
806,248,1568,1808,706.0
807,1860,651,1108,901.0
808,457,1467,1652,1652.0
809,1270,1089,1674,1749.0
810,654,1887,502,234.0
811,1621,564,1053,1211.0
812,1113,1444,892,1349.0
813,70,1381,793,141.0
814,1779,218,933,1056.0
815,803,664,784,422.0
816,1205,560,222,1486.0
817,1790,1808,1139,1082.0
818,1740,1482,1233,815.0
819,720,1120,310,1642.0
820,1862,1480,1369,1338.0
821,791,521,1130,1581.0
822,276,1834,1868,911.0
823,322,64,1327,1198.0
824,1466,172,670,1003.0
825,1600,1489,1968,1399.0
826,770,1409,692,225.0
827,57,206,205,1846.0
828,408,128,1389,1678.0
829,491,1528,122,1304.0
830,1856,1198,1206,1355.0
831,1547,1126,1528,227.0
832,1493,416,25,1367.0
833,1595,586,23,515.0
834,303,1590,100,1378.0
835,990,1435,765,1484.0
836,590,1006,1148,693.0
837,1100,802,1646,1375.0
838,753,1695,1055,1064.0
839,1548,285,1717,1746.0
840,1132,696,934,650.0
841,1076,269,299,217.0
842,1368,1605,815,573.0
843,1777,1256,1874,305.0
844,1219,1491,719,1589.0
845,1538,1814,405,1222.0
846,1707,304,205,794.0
847,768,1204,762,1898.0
848,1665,761,1222,320.0
849,782,373,1485,199.0
850,1225,15,182,822.0
851,658,1815,1318,1592.0
852,526,1218,1400,299.0
853,1404,782,559,1726.0
854,438,1168,250,1255.0
855,726,572,22,1041.0
856,1787,492,1950,1893.0
857,695,496,1416,941.0
858,11,1597,1972,781.0
859,337,189,1216,1733.0
860,1250,1911,1095,1239.0
861,768,387,531,1937.0
862,1919,696,293,641.0
863,646,1836,1596,290.0
864,25,313,662,826.0
865,1545,1212,672,409.0
866,1849,1154,1256,1929.0
867,410,1499,1361,679.0
868,535,1458,1542,643.0
869,939,65,60,1584.0
870,1945,623,1573,89.0
871,914,1320,389,1631.0
872,1908,315,996,1150.0
873,951,57,1583,1406.0
874,1273,1514,951,935.0
875,422,727,1689,649.0
876,1343,947,1637,1581.0
877,858,385,1268,499.0
878,95,1186,1997,1653.0
879,174,1782,1705,145.0
880,1328,1180,600,1473.0
881,1589,1841,1108,1445.0
882,260,1985,952,1644.0
883,1777,1710,928,730.0
884,587,1659,60,1939.0
885,124,814,457,970.0
886,1924,849,1333,645.0
887,1072,982,1430,963.0
888,1237,1094,1925,325.0
889,63,1452,735,323.0
890,1575,607,1604,1492.0
891,1422,433,1668,915.0
892,409,1077,1734,209.0
893,1509,683,1730,1695.0
894,823,1804,677,1265.0
895,1211,1745,78,1557.0
896,978,1330,453,1221.0
897,874,1495,1878,1476.0
898,1546,655,1878,1264.0
899,856,192,697,751.0
900,400,1247,485,206.0
901,1568,1935,1416,1649.0
902,656,1645,608,1145.0
903,307,1873,1637,1752.0
904,1447,1311,1572,21.0
905,222,841,1632,1538.0
906,1152,1205,853,1227.0
907,1424,1429,1187,663.0
908,1970,294,1168,1054.0
909,1155,1449,249,1211.0
910,871,1843,1507,1591.0
911,1374,273,1712,275.0
912,1230,80,473,1579.0
913,1175,1378,1588,1800.0
914,1216,1801,277,1011.0
915,177,1349,802,1825.0
916,425,351,1381,903.0
917,1580,1900,942,1465.0
918,1675,1755,407,1566.0
919,1018,85,112,32.0
920,1595,464,488,209.0
921,255,266,1579,1255.0
922,411,215,1708,1102.0
923,1891,1341,1666,230.0
924,1238,932,224,1228.0
925,1822,677,1267,1103.0
926,1659,398,1379,1390.0
927,92,633,1956,1731.0
928,149,1040,94,171.0
929,978,1091,116,510.0
930,1278,1188,504,1235.0
931,1229,561,1613,1779.0
932,569,1571,1835,86.0
933,853,1913,1801,1985.0
934,443,891,176,49.0
935,1716,740,319,1772.0
936,284,517,198,1461.0
937,865,1222,98,1056.0
938,1519,1238,1743,1728.0
939,539,975,1106,1147.0
940,1995,553,750,766.0
941,1391,1356,1217,1800.0
942,524,1619,821,1934.0
943,206,975,1169,239.0
944,532,102,639,1558.0
945,173,1104,21,844.0
946,471,803,1186,126.0
947,1387,1171,435,379.0
948,28,931,570,585.0
949,912,806,1387,1463.0
950,1180,370,1215,884.0
951,13,151,1658,187.0
952,1856,991,863,1808.0
953,71,233,983,113.0
954,131,354,1884,1663.0
955,1079,498,526,150.0
956,1892,1815,287,1749.0
957,732,866,35,1074.0
958,1785,1547,393,821.0
959,1496,1713,1617,669.0
960,68,1966,1826,978.0
961,551,1552,1689,317.0
962,1547,1101,1346,1546.0
963,579,34,903,58.0
964,1520,548,897,356.0
965,1916,1000,1819,477.0
966,1659,641,185,1446.0
967,320,622,1703,36.0
968,1480,669,1645,554.0
969,607,1878,1461,1485.0
970,938,1956,640,117.0
971,1148,1745,1767,479.0
972,1246,72,152,1806.0
973,1337,1098,880,1021.0
974,1446,836,1743,1613.0
975,355,857,473,1242.0
976,86,1275,1713,1779.0
977,1841,1951,1216,640.0
978,663,1537,1170,1167.0
979,1990,1825,1755,1270.0
980,1814,701,1763,1616.0
981,135,81,727,208.0
982,722,1279,1271,917.0
983,190,1226,1409,1228.0
984,1928,1264,79,894.0
985,1728,804,1301,159.0
986,314,1822,784,294.0
987,1381,66,1845,1813.0
988,1792,1073,1671,1215.0
989,1758,1441,1839,1661.0
990,183,1604,853,1865.0
991,978,1578,1415,424.0
992,1364,1334,1466,4.0
